"Sector.Detail","Sector","Size","Part.Of.Larger.Firm","Num.Establishments","Headquarters","Separate.Financial.Statements","Firm.Status","Establishment.Begin.Year","Electrical.Application","Electrical.Wait","Power.Outage","Num.Power.Outages","Power.Outage.Duration.Hours","Power.Outage.Duration.Minutes","Generator","Generator.Use","Water.Application","Water.Wait","Water.Outage","Num.Water.Outages","Water.Outage.Duration","Email","Website","Main.Activity","Sales.Nominal","Theft.Loss","Breakage.Loss","Capacity.Utilization","Operation.Hours","Capital.Purchases.Bool","Capital.Purchases.Amount","Upgraded.Capital.Bool","Upgraded.Capital.Percent","Land.Buildings.Amount","Full.Time.Employees","Full.Time.Employees.Production","Full.Time.Employees.Non.Production","Full.Time.Employees.Production.High.Skill","Full.Time.Employees.Production.Mid.Skill","Full.Time.Employees.Production.Low.Skill","Full.Time.Employees.Temporary","Full.Time.Employees.Temporary.Duration","Full.Time.Employees.Secondary.School.Percent","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Total.Cost","Capital.Value","Country"
45,3,2,2,NA,NA,NA,2,1968,2,NA,1,-9,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,4,3.885e+13,NA,NA,NA,NA,1,1.11e+12,2,NA,0,68,NA,NA,NA,NA,NA,28,12,-9,2.109e+09,NA,27750000,NA,NA,"Paraguay"
52,2,1,2,NA,NA,NA,3,1992,2,NA,1,2,0,1,2,NA,2,NA,NA,NA,NA,2,2,2,3e+08,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,NA,100,3e+07,NA,2400000,NA,NA,"Paraguay"
51,3,3,2,NA,NA,NA,2,1994,2,NA,1,3,6,0,1,70,2,NA,NA,NA,NA,1,1,3,1.3e+11,NA,NA,NA,NA,1,5.55e+09,1,10,0,300,NA,NA,NA,NA,NA,0,NA,83,1.56e+10,NA,2.3e+08,NA,NA,"Paraguay"
51,3,2,2,NA,NA,NA,2,1997,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,2.835e+10,NA,NA,NA,NA,2,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,0,NA,90,3.367e+09,NA,7e+07,NA,NA,"Paraguay"
60,3,1,2,NA,NA,NA,5,1985,2,NA,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,6,2.2e+10,NA,NA,NA,NA,2,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,0,NA,100,9.36e+08,NA,1.6e+07,NA,NA,"Paraguay"
51,3,3,1,3,1,1,2,2000,2,NA,1,-9,NA,NA,1,-9,2,NA,NA,NA,NA,1,1,3,-9,NA,NA,NA,NA,1,-9,NA,NA,0,127,NA,NA,NA,NA,NA,20,3,98,-9,NA,-9,NA,NA,"Paraguay"
52,2,2,2,NA,NA,NA,2,1950,1,5,1,5,2,0,2,NA,2,NA,NA,NA,NA,1,1,2,7e+09,NA,NA,NA,NA,2,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,0,NA,100,1.2e+09,NA,7200000,NA,NA,"Paraguay"
24,1,3,2,NA,NA,NA,5,1984,1,30,1,0,NA,NA,1,1,2,NA,2,NA,NA,1,1,1,6.6e+10,0,0,20,45,1,5.5e+09,1,60,1.1e+08,350,123,227,10,5,108,0,NA,80,9e+09,2.2e+10,1.8e+08,3.885e+10,2.77e+11,"Paraguay"
51,3,2,2,NA,NA,NA,2,1997,2,NA,1,1,0,50,2,NA,2,NA,NA,NA,NA,2,1,3,1.134e+10,NA,NA,NA,NA,2,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,5,6,100,2.268e+09,NA,11340000,NA,NA,"Paraguay"
52,2,1,2,NA,NA,NA,2,2012,2,NA,1,1,0,1,2,NA,2,NA,NA,NA,NA,1,1,2,3e+09,NA,NA,NA,NA,1,1.2e+08,2,NA,0,9,NA,NA,NA,NA,NA,0,NA,100,5.5e+08,NA,2.5e+07,NA,NA,"Paraguay"
72,3,3,2,NA,NA,NA,2,1999,1,90,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,6,8e+09,NA,NA,NA,NA,1,5e+08,1,20,1e+08,400,NA,NA,NA,NA,NA,20,1,90,5e+09,NA,2e+08,NA,NA,"Paraguay"
45,3,2,2,NA,NA,NA,5,1994,2,NA,1,1,0,45,2,NA,2,NA,NA,NA,NA,1,2,4,1.7e+10,NA,NA,NA,NA,1,3e+08,2,NA,0,80,NA,NA,NA,NA,NA,5,1,50,-9,NA,3.5e+08,NA,NA,"Paraguay"
15,1,1,2,NA,NA,NA,2,2013,2,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,1,2,1,9.6e+08,NA,NA,50,48,2,NA,NA,NA,NA,8,5,3,0,0,5,0,NA,100,9.6e+07,-9,3e+07,-9,1e+09,"Paraguay"
52,2,1,2,NA,NA,NA,3,2002,2,NA,1,1,0,0,2,NA,2,NA,NA,NA,NA,2,2,2,1.4e+09,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,NA,80,6e+07,NA,2e+06,NA,NA,"Paraguay"
50,3,1,2,NA,NA,NA,2,2009,2,NA,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,6,1e+09,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,NA,-9,1.5e+08,NA,6e+06,NA,NA,"Paraguay"
45,3,1,2,NA,NA,NA,5,2004,2,NA,1,-9,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,6,5e+09,NA,NA,NA,NA,1,1.8e+08,2,NA,4e+07,7,NA,NA,NA,NA,NA,25,8,100,681525000,NA,6300000,NA,NA,"Paraguay"
50,3,2,2,NA,NA,NA,2,1999,1,4,1,1,0,30,1,15,2,NA,NA,NA,NA,1,1,6,1.2e+10,NA,NA,NA,NA,1,1.9e+09,1,20,2e+10,50,NA,NA,NA,NA,NA,0,NA,-9,-9,NA,-9,NA,NA,"Paraguay"
51,3,2,2,NA,NA,NA,2,1992,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,12636102000,NA,NA,NA,NA,2,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,0,NA,100,1022883640,NA,-9,NA,NA,"Paraguay"
15,1,3,1,4,1,1,2,1987,2,NA,1,0,NA,NA,1,3,2,NA,2,NA,NA,1,1,1,2.184e+12,1,1,72,45,1,2.8e+09,1,40,3.36e+10,1600,900,-9,0,40,860,15,3,90,1.68e+10,-9,-9,2.184e+12,2.856e+11,"Paraguay"
60,3,2,2,NA,NA,NA,5,1993,2,NA,1,1,0,30,1,5,2,NA,NA,NA,NA,1,1,6,5.697e+10,NA,NA,NA,NA,2,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,0,NA,90,1.23e+09,NA,1.7e+07,NA,NA,"Paraguay"
