"Sector.Detail","Sector","Size","Part.Of.Larger.Firm","Num.Establishments","Headquarters","Separate.Financial.Statements","Firm.Status","Establishment.Begin.Year","Electrical.Application","Electrical.Wait","Power.Outage","Num.Power.Outages","Power.Outage.Duration.Hours","Power.Outage.Duration.Minutes","Generator","Generator.Use","Water.Application","Water.Wait","Water.Outage","Num.Water.Outages","Water.Outage.Duration","Email","Website","Main.Activity","Sales.Nominal","Theft.Loss","Breakage.Loss","Capacity.Utilization","Operation.Hours","Capital.Purchases.Bool","Capital.Purchases.Amount","Upgraded.Capital.Bool","Upgraded.Capital.Percent","Land.Buildings.Amount","Full.Time.Employees","Full.Time.Employees.Production","Full.Time.Employees.Non.Production","Full.Time.Employees.Production.High.Skill","Full.Time.Employees.Production.Mid.Skill","Full.Time.Employees.Production.Low.Skill","Full.Time.Employees.Temporary","Full.Time.Employees.Temporary.Duration","Full.Time.Employees.Secondary.School.Percent","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Total.Cost","Capital.Value","Country"
17,1,2,2,NA,NA,NA,2,2002,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,7200000,NA,NA,100,144,2,NA,NA,NA,NA,50,40,10,2,25,13,0,NA,60,600000,4000000,200000,5600000,3000000,"Peru"
51,3,3,2,NA,NA,NA,2,1990,2,NA,1,1,0,30,1,-9,2,NA,NA,NA,NA,1,1,3,2e+08,NA,NA,NA,NA,1,-9,NA,NA,-9,800,NA,NA,NA,NA,NA,0,NA,80,-9,NA,-9,NA,NA,"Peru"
15,1,1,2,NA,NA,NA,2,2006,1,30,2,NA,NA,NA,2,NA,1,730,2,NA,NA,1,1,1,1100000,NA,NA,100,168,1,250000,1,100,0,8,4,4,4,0,0,0,NA,100,400000,400000,60000,1000000,2000000,"Peru"
51,3,1,2,NA,NA,NA,2,-9,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,3,9e+06,NA,NA,NA,NA,2,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,4,4,100,-9,NA,1800,NA,NA,"Peru"
52,2,1,2,NA,NA,NA,2,2003,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,2,8e+05,NA,NA,NA,NA,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,3,3,100,-9,NA,4000,NA,NA,"Peru"
50,3,1,2,NA,NA,NA,5,2008,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,6,-9,NA,NA,NA,NA,2,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,0,NA,100,-9,NA,1200,NA,NA,"Peru"
51,3,1,2,NA,NA,NA,2,2002,1,2,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,2,1,3,8e+06,NA,NA,NA,NA,1,175000,1,100,0,16,NA,NA,NA,NA,NA,8,6,100,244573,NA,12300,NA,NA,"Peru"
51,3,1,2,NA,NA,NA,5,2006,2,NA,1,1,1,0,2,NA,2,NA,NA,NA,NA,1,2,3,5e+06,NA,NA,NA,NA,1,200000,2,NA,0,5,NA,NA,NA,NA,NA,0,NA,100,-9,NA,2100,NA,NA,"Peru"
52,2,1,2,NA,NA,NA,2,2004,2,NA,1,1,1,6,1,1,2,NA,NA,NA,NA,2,2,2,2164856,NA,NA,NA,NA,2,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,0,NA,100,91800,NA,7200,NA,NA,"Peru"
51,3,1,2,NA,NA,NA,2,2002,2,NA,1,2,3,0,2,NA,2,NA,NA,NA,NA,1,2,3,-9,NA,NA,NA,NA,2,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,2,2,9,-9,NA,4200,NA,NA,"Peru"
51,3,2,1,7,1,2,2,1999,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,1.3e+07,NA,NA,NA,NA,2,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,20,3,100,300000,NA,5000,NA,NA,"Peru"
45,3,1,1,2,1,2,3,2009,2,NA,1,1,4,9,2,NA,2,NA,NA,NA,NA,1,1,6,6e+05,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,-9,NA,100,100000,NA,800,NA,NA,"Peru"
51,3,2,1,3,1,1,2,1995,1,7,2,NA,NA,NA,1,0,1,7,NA,NA,NA,1,1,3,1e+07,NA,NA,NA,NA,2,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,25,6,100,500000,NA,18000,NA,NA,"Peru"
15,1,2,2,NA,NA,NA,2,2007,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,-9,NA,NA,70,84,2,NA,NA,NA,NA,39,30,9,6,24,0,0,NA,100,-9,-9,-9,-9,-9,"Peru"
51,3,1,2,NA,NA,NA,3,2006,2,NA,1,3,15,0,2,NA,2,NA,NA,NA,NA,1,1,3,-9,NA,NA,NA,NA,1,-9,NA,NA,0,7,NA,NA,NA,NA,NA,4,3,100,-9,NA,4500,NA,NA,"Peru"
15,1,1,2,NA,NA,NA,5,1992,2,NA,1,0,NA,NA,2,NA,2,NA,1,3,6,2,2,1,964759,NA,NA,80,103,1,6206,2,NA,0,16,5,11,2,1,2,0,NA,100,170275,485961,21214,677460,-9,"Peru"
31,1,1,2,NA,NA,NA,2,2010,2,NA,2,NA,NA,NA,2,NA,1,-6,1,2,24,1,2,1,1500000,0,0,15,48,2,NA,NA,NA,NA,13,9,4,7,2,0,2,3,100,250000,1000000,12000,1400000,100000,"Peru"
