"Sector.Detail","Sector","Size","Part.Of.Larger.Firm","Num.Establishments","Headquarters","Separate.Financial.Statements","Firm.Status","Establishment.Begin.Year","Electrical.Application","Electrical.Wait","Power.Outage","Num.Power.Outages","Power.Outage.Duration.Hours","Power.Outage.Duration.Minutes","Generator","Generator.Use","Water.Application","Water.Wait","Water.Outage","Num.Water.Outages","Water.Outage.Duration","Email","Website","Main.Activity","Sales.Nominal","Theft.Loss","Breakage.Loss","Capacity.Utilization","Operation.Hours","Capital.Purchases.Bool","Capital.Purchases.Amount","Upgraded.Capital.Bool","Upgraded.Capital.Percent","Land.Buildings.Amount","Full.Time.Employees","Full.Time.Employees.Production","Full.Time.Employees.Non.Production","Full.Time.Employees.Production.High.Skill","Full.Time.Employees.Production.Mid.Skill","Full.Time.Employees.Production.Low.Skill","Full.Time.Employees.Temporary","Full.Time.Employees.Temporary.Duration","Full.Time.Employees.Secondary.School.Percent","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Total.Cost","Capital.Value","Country"
15,1,2,2,NA,NA,NA,5,1988,2,NA,1,0,NA,NA,1,1,2,NA,2,NA,NA,1,1,1,39516000,NA,NA,70,50,1,2e+05,2,NA,0,42,37,5,2,6,29,0,NA,100,6849000,21762000,1200000,33830000,-9,"Argentina"
51,3,1,1,2,2,NA,2,1986,2,NA,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,3220000,NA,NA,NA,NA,1,2e+05,2,NA,0,5,NA,NA,NA,NA,NA,0,NA,100,1030000,NA,36000,NA,NA,"Argentina"
52,2,2,1,28,1,2,2,1950,2,NA,1,3,0,0,2,NA,2,NA,NA,NA,NA,1,1,2,1.5e+07,NA,NA,NA,NA,2,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,0,NA,100,-9,NA,-9,NA,NA,"Argentina"
52,2,3,2,NA,NA,NA,2,2003,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,2,235840000,NA,NA,NA,NA,1,95000,1,100,0,128,NA,NA,NA,NA,NA,0,NA,100,30000000,NA,22500,NA,NA,"Argentina"
33,1,2,2,NA,NA,NA,2,1993,2,NA,1,1,0,0,2,NA,2,NA,2,NA,NA,1,1,1,4.7e+07,NA,NA,80,44,2,NA,NA,NA,NA,63,40,23,10,25,5,0,NA,33,36000000,9e+06,100000,-9,-9,"Argentina"
52,2,1,1,15,2,NA,2,1970,1,1,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,2,8e+05,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,NA,100,200000,NA,150000,NA,NA,"Argentina"
50,3,3,1,4,2,NA,2,2007,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,6,2.12e+08,NA,NA,NA,NA,2,NA,NA,NA,NA,111,NA,NA,NA,NA,NA,0,NA,100,36363000,NA,217000,NA,NA,"Argentina"
52,2,3,2,NA,NA,NA,2,1963,2,NA,1,1,2,0,1,80,2,NA,NA,NA,NA,1,1,2,1e+08,NA,NA,NA,NA,1,8e+05,2,NA,0,198,NA,NA,NA,NA,NA,0,NA,-9,20000000,NA,-9,NA,NA,"Argentina"
50,3,3,2,NA,NA,NA,2,1991,2,NA,1,1,0,1,2,NA,2,NA,NA,NA,NA,1,1,6,3.85e+08,NA,NA,NA,NA,1,-9,NA,NA,-9,1000,NA,NA,NA,NA,NA,100,4,80,-9,NA,1500000,NA,NA,"Argentina"
52,2,3,1,2,2,NA,5,1982,2,NA,1,1,1,0,2,NA,2,NA,NA,NA,NA,1,2,2,4.6e+07,NA,NA,NA,NA,1,90000,2,NA,0,130,NA,NA,NA,NA,NA,0,NA,90,29000000,NA,28000,NA,NA,"Argentina"
52,2,2,2,NA,NA,NA,2,1969,2,NA,1,0,NA,NA,1,0,2,NA,NA,NA,NA,1,1,2,2e+08,NA,NA,NA,NA,1,2e+06,2,NA,0,35,NA,NA,NA,NA,NA,0,NA,90,50000000,NA,120000,NA,NA,"Argentina"
60,3,3,2,NA,NA,NA,2,2008,2,NA,1,1,3,0,2,NA,2,NA,NA,NA,NA,1,2,6,1.2e+08,NA,NA,NA,NA,1,1e+06,1,100,0,147,NA,NA,NA,NA,NA,0,NA,85,51000000,NA,-9,NA,NA,"Argentina"
45,3,2,2,NA,NA,NA,5,1992,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,4,6.3e+07,NA,NA,NA,NA,1,450000,2,NA,0,90,NA,NA,NA,NA,NA,0,NA,100,21060000,NA,14000,NA,NA,"Argentina"
28,1,1,2,NA,NA,NA,5,2002,2,NA,2,NA,NA,NA,2,NA,2,NA,1,-9,NA,1,1,1,5200000,NA,NA,30,25,1,1600000,2,NA,0,12,9,3,3,6,0,0,NA,6,1900000,950000,35000,3250000,3500000,"Argentina"
45,3,3,1,3,1,1,2,1986,2,NA,1,1,1,0,1,-9,2,NA,NA,NA,NA,1,1,4,1.55e+08,NA,NA,NA,NA,1,-9,NA,NA,-9,230,NA,NA,NA,NA,NA,0,NA,90,60000000,NA,10000000,NA,NA,"Argentina"
45,3,3,2,NA,NA,NA,5,1997,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,4,-9,NA,NA,NA,NA,1,2100000,1,100,600000,111,NA,NA,NA,NA,NA,0,NA,100,-9,NA,-9,NA,NA,"Argentina"
25,1,2,2,NA,NA,NA,2,2000,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,4.3e+07,NA,NA,50,120,2,NA,NA,NA,NA,55,32,23,8,20,4,0,NA,100,-9,-9,-9,-9,-9,"Argentina"
60,3,3,1,8,1,2,2,1994,2,NA,1,2,1,0,1,2,2,NA,NA,NA,NA,1,1,6,8.1e+08,NA,NA,NA,NA,1,1.5e+07,2,NA,-9,1100,NA,NA,NA,NA,NA,0,NA,50,36000000,NA,-9,NA,NA,"Argentina"
45,3,3,2,NA,NA,NA,2,1995,2,NA,1,-9,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,4,-9,NA,NA,NA,NA,1,7500000,1,100,0,300,NA,NA,NA,NA,NA,0,NA,75,-9,NA,-9,NA,NA,"Argentina"
45,3,2,2,NA,NA,NA,2,2000,2,NA,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,4,10363000,NA,NA,NA,NA,1,90000,2,NA,70000,26,NA,NA,NA,NA,NA,0,NA,100,5180000,NA,-9,NA,NA,"Argentina"
45,3,3,2,NA,NA,NA,2,-9,1,60,1,5,15,0,1,1,1,90,NA,NA,NA,1,-9,4,1.87e+08,NA,NA,NA,NA,1,1e+07,1,50,5000000,20,NA,NA,NA,NA,NA,150,10,100,60000000,NA,1000000,NA,NA,"Argentina"
45,3,3,2,NA,NA,NA,2,1995,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,4,1.6e+08,NA,NA,NA,NA,1,2500000,1,100,700000,289,NA,NA,NA,NA,NA,0,NA,100,65000000,NA,98600,NA,NA,"Argentina"
45,3,3,2,NA,NA,NA,5,2013,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,4,4.3e+07,NA,NA,NA,NA,1,8e+05,1,100,0,100,NA,NA,NA,NA,NA,0,NA,40,38000000,NA,50000,NA,NA,"Argentina"
45,3,1,2,NA,NA,NA,2,2010,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,4,2.3e+07,NA,NA,NA,NA,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0,NA,90,2800000,NA,-9,NA,NA,"Argentina"
28,1,1,2,NA,NA,NA,5,2008,2,NA,1,0,NA,NA,2,NA,2,NA,-7,NA,NA,1,1,1,2.9e+07,NA,NA,100,50,1,1200000,1,100,0,25,20,5,4,16,0,25,3,50,-9,-9,100000,-9,6e+06,"Argentina"
51,3,1,2,NA,NA,NA,2,2012,2,NA,1,-9,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,3140000,NA,NA,NA,NA,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0,NA,100,-9,NA,-9,NA,NA,"Argentina"
51,3,1,2,NA,NA,NA,5,2011,-9,NA,1,1,1,0,2,NA,2,NA,NA,NA,NA,1,1,3,2300000,NA,NA,NA,NA,1,-9,NA,NA,-9,12,NA,NA,NA,NA,NA,0,NA,100,-9,NA,-9,NA,NA,"Argentina"
15,1,3,2,NA,NA,NA,2,1984,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,128256000,NA,NA,65,96,1,2870000,1,100,0,186,152,34,73,70,9,0,NA,100,64000000,4.5e+07,1280000,125150000,-9,"Argentina"
15,1,2,2,NA,NA,NA,5,1999,1,90,1,4,2,0,1,50,2,NA,1,3,5,1,1,1,1.5e+08,NA,NA,40,50,1,1e+06,1,70,30,80,59,21,15,4,40,25,3,40,7000000,7e+06,700000,1.44e+08,5e+06,"Argentina"
15,1,1,2,NA,NA,NA,5,2009,2,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,6840000,NA,NA,70,48,2,NA,NA,NA,NA,10,5,5,1,3,1,0,NA,100,2840000,3500000,78200,6655000,-9,"Argentina"
15,1,3,2,NA,NA,NA,2,1988,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,2,1,4.18e+08,NA,NA,90,144,1,1700000,1,100,400000,480,241,239,158,59,24,14,1,100,123864000,1.98e+08,2000000,3.6e+08,-9,"Argentina"
51,3,2,2,NA,NA,NA,2,1965,2,NA,2,NA,NA,NA,1,100,2,NA,NA,NA,NA,1,1,3,5.1e+07,NA,NA,NA,NA,2,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,7,4,15,20000000,NA,1500000,NA,NA,"Argentina"
15,1,2,2,NA,NA,NA,2,2003,2,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,2,1,1,27432000,NA,NA,60,40,2,NA,NA,NA,NA,29,20,9,4,6,10,0,NA,90,4360000,10762000,948000,19776000,-9,"Argentina"
15,1,3,2,NA,NA,NA,2,1987,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,2,1,6.65e+08,NA,NA,70,44,1,3700000,1,90,0,410,236,174,44,59,133,0,NA,85,213200000,3.5e+08,3325000,6.23e+08,-9,"Argentina"
15,1,1,2,NA,NA,NA,5,2008,-9,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,12770000,NA,NA,90,40,2,NA,NA,NA,NA,14,12,2,3,9,0,0,NA,30,-9,-9,-9,-9,-9,"Argentina"
15,1,3,2,NA,NA,NA,2,1996,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,9.6e+07,NA,NA,100,88,2,NA,NA,NA,NA,250,165,85,85,60,20,0,NA,100,47000000,3.5e+07,2850000,9.3e+07,-9,"Argentina"
15,1,3,2,NA,NA,NA,5,1993,2,NA,1,0,NA,NA,1,1,2,NA,2,NA,NA,1,2,1,143617001,0,0,50,40,1,8e+06,1,80,0,100,70,30,10,4,56,0,NA,50,45000000,1.24e+08,8000000,1.85e+08,2e+07,"Argentina"
51,3,2,2,NA,NA,NA,6,1985,2,NA,1,30,-9,-9,1,-9,2,NA,NA,NA,NA,1,1,3,2.5e+07,NA,NA,NA,NA,1,4e+06,1,100,0,30,NA,NA,NA,NA,NA,0,NA,20,7000000,NA,450000,NA,NA,"Argentina"
15,1,3,2,NA,NA,NA,5,2007,1,-9,1,4,0,1,1,-9,2,NA,2,NA,NA,1,1,1,3.98e+08,NA,NA,70,168,1,4e+06,1,45,0,120,-9,-9,-9,-9,-9,-9,NA,-9,78000000,1e+08,1260000,2.36e+08,-9,"Argentina"
15,1,3,1,4,1,1,2,1935,1,-9,2,NA,NA,NA,1,-9,2,NA,2,NA,NA,1,1,1,1.9e+08,NA,NA,100,56,1,8e+06,1,100,200000000,120,100,20,10,10,80,20,8,-9,18000000,6.7e+07,2000000,1.05e+08,-9,"Argentina"
52,2,1,2,NA,NA,NA,5,2001,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,2,1.2e+07,NA,NA,NA,NA,2,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,0,NA,100,2500000,NA,450000,NA,NA,"Argentina"
52,2,3,2,NA,NA,NA,2,1963,1,7,1,4,1,0,2,NA,2,NA,NA,NA,NA,1,1,2,2.3e+07,NA,NA,NA,NA,1,2e+05,2,NA,0,6,NA,NA,NA,NA,NA,0,NA,100,9500000,NA,900000,NA,NA,"Argentina"
15,1,2,2,NA,NA,NA,2,1998,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,9e+07,NA,NA,60,55,2,NA,NA,NA,NA,85,64,21,43,19,2,0,NA,100,13900000,5.6e+07,1890000,81250000,-9,"Argentina"
15,1,2,1,3,1,2,2,1992,2,NA,1,1,0,0,1,5,2,NA,2,NA,NA,1,2,1,-9,NA,NA,80,140,1,3e+06,1,50,150000000,40,12,28,3,5,4,5,6,50,1200000,-9,900000,-9,-9,"Argentina"
15,1,2,2,NA,NA,NA,2,2005,2,NA,1,0,NA,NA,1,2,2,NA,2,NA,NA,1,1,1,2e+07,NA,NA,70,40,1,250000,2,NA,0,26,18,8,3,5,10,0,NA,100,4670000,8e+06,870000,1.6e+07,-9,"Argentina"
