"Sector.Detail","Sector","Size","Part.Of.Larger.Firm","Num.Establishments","Headquarters","Separate.Financial.Statements","Firm.Status","Establishment.Begin.Year","Electrical.Application","Electrical.Wait","Power.Outage","Num.Power.Outages","Power.Outage.Duration.Hours","Power.Outage.Duration.Minutes","Generator","Generator.Use","Water.Application","Water.Wait","Water.Outage","Num.Water.Outages","Water.Outage.Duration","Email","Website","Main.Activity","Sales.Nominal","Theft.Loss","Breakage.Loss","Capacity.Utilization","Operation.Hours","Capital.Purchases.Bool","Capital.Purchases.Amount","Upgraded.Capital.Bool","Upgraded.Capital.Percent","Land.Buildings.Amount","Full.Time.Employees","Full.Time.Employees.Production","Full.Time.Employees.Non.Production","Full.Time.Employees.Production.High.Skill","Full.Time.Employees.Production.Mid.Skill","Full.Time.Employees.Production.Low.Skill","Full.Time.Employees.Temporary","Full.Time.Employees.Temporary.Duration","Full.Time.Employees.Secondary.School.Percent","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Total.Cost","Capital.Value","Country"
15,1,2,2,NA,NA,NA,5,1995,2,NA,1,2,1,30,2,NA,2,NA,2,NA,NA,1,1,1,1289132,0,0,60,40,2,NA,NA,NA,NA,28,17,11,5,2,10,0,NA,100,393588,433258,3765,916934,550000,"Ecuador"
24,1,2,2,NA,NA,NA,2,1996,2,NA,1,1,1,0,2,NA,2,NA,2,NA,NA,1,2,1,4620000,NA,NA,100,70,2,NA,NA,NA,NA,89,37,52,35,2,0,0,NA,98,1100000,967590,24000,2500000,350000,"Ecuador"
51,3,1,2,NA,NA,NA,2,2006,2,NA,1,1,2,0,2,NA,2,NA,NA,NA,NA,1,1,3,1270000,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,NA,100,115000,NA,1500,NA,NA,"Ecuador"
17,1,3,2,NA,NA,NA,2,1976,2,NA,2,NA,NA,NA,1,2,2,NA,1,0,NA,1,1,1,59000000,NA,NA,80,40,1,600000,1,100,0,490,323,167,323,0,0,25,6,98,8200000,30000000,2e+05,39000000,10000000,"Ecuador"
51,3,3,1,6,1,2,1,1990,1,3,1,30,0,1,2,NA,2,NA,NA,NA,NA,1,1,3,133432417,NA,NA,NA,NA,1,7000000,1,85,1000000,1000,NA,NA,NA,NA,NA,50,6,99,9583102,NA,1987805.82,NA,NA,"Ecuador"
52,2,3,2,NA,NA,NA,5,1988,2,NA,1,8,1,0,1,1,2,NA,NA,NA,NA,1,1,2,15000000,NA,NA,NA,NA,1,1000000,2,NA,1200000,150,NA,NA,NA,NA,NA,0,NA,90,3000000,NA,5e+05,NA,NA,"Ecuador"
18,1,1,2,NA,NA,NA,2,1998,1,3,1,3,1,0,2,NA,2,NA,2,NA,NA,1,2,1,270000,NA,NA,95,40,1,6000,1,90,0,12,9,3,2,5,2,0,NA,100,88000,10900,684,158737,100000,"Ecuador"
25,1,2,2,NA,NA,NA,5,2003,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,4000000,0,0,60,107,1,220000,1,77,0,32,25,7,1,24,0,1,3,8,273582,1974817,170848,3347975,906000,"Ecuador"
51,3,1,1,2,1,1,5,2011,2,NA,1,2,3,0,2,NA,2,NA,NA,NA,NA,1,1,3,220000,NA,NA,NA,NA,1,10000,1,7,0,5,NA,NA,NA,NA,NA,0,NA,100,55000,NA,1440,NA,NA,"Ecuador"
15,1,1,2,NA,NA,NA,2,2014,2,NA,1,6,3,0,2,NA,2,NA,2,NA,NA,1,1,1,428000,NA,NA,20,75,1,30000,1,100,0,10,5,5,0,5,0,0,NA,100,168747,183820,3000,385810,400000,"Ecuador"
15,1,1,2,NA,NA,NA,2,2012,2,NA,1,0,NA,NA,1,-9,2,NA,2,NA,NA,1,1,1,800000,0,0,50,40,2,NA,NA,NA,NA,8,5,3,3,2,0,0,NA,100,180000,40000,12389,320000,2000000,"Ecuador"
25,1,1,2,NA,NA,NA,5,2005,1,3,1,3,10,0,1,13,2,NA,2,NA,NA,1,2,1,508898,NA,NA,80,68,1,18015,1,100,0,8,5,3,4,1,0,0,NA,50,64509,304584,6946,430885,145000,"Ecuador"
28,1,3,2,NA,NA,NA,2,1995,1,-9,1,1,0,20,1,1,2,NA,1,0,NA,1,1,1,28264780,0,0,75,144,1,2000000,1,100,0,100,70,30,20,50,0,50,4,70,2917704,10523619,83386,27993228,15000000,"Ecuador"
29,1,3,2,NA,NA,NA,5,2007,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,2,1,2603247,NA,NA,80,48,2,NA,NA,NA,NA,100,80,20,20,20,40,20,3,50,630880,-9,8618,1992600,2799863,"Ecuador"
51,3,1,2,NA,NA,NA,5,1970,2,NA,1,1,0,1,2,NA,2,NA,NA,NA,NA,1,1,3,427941,NA,NA,NA,NA,1,27000,1,80,0,9,NA,NA,NA,NA,NA,0,NA,80,140000,NA,1300,NA,NA,"Ecuador"
51,3,2,1,2,1,2,5,1988,2,NA,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,19000000,NA,NA,NA,NA,1,100000,2,NA,0,47,NA,NA,NA,NA,NA,2,3,85,819232,NA,67038,NA,NA,"Ecuador"
21,1,1,2,NA,NA,NA,2,2014,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,2,1,600000,NA,NA,60,60,2,NA,NA,NA,NA,11,8,3,4,2,2,0,NA,70,117100,300000,3000,445877,250000,"Ecuador"
17,1,2,2,NA,NA,NA,2,2015,1,90,1,1,0,1,2,NA,1,30,1,0,NA,1,1,1,650000,NA,NA,100,40,2,NA,NA,NA,NA,23,15,8,2,3,10,0,NA,100,230000,70000,45000,390829,1347754,"Ecuador"
22,1,3,2,NA,NA,NA,5,1906,2,NA,2,NA,NA,NA,1,2,2,NA,2,NA,NA,1,1,1,39000000,NA,NA,80,56,1,20000,2,NA,711000,625,250,375,83,125,42,12,12,60,15100000,4098755,420000,21466032,820000,"Ecuador"
24,1,2,2,NA,NA,NA,2,1975,2,NA,1,1,0,30,2,NA,2,NA,2,NA,NA,1,2,1,322000,NA,NA,60,40,2,NA,NA,NA,NA,23,7,16,0,1,6,0,NA,100,140000,100000,4000,307632,110000,"Ecuador"
52,2,1,2,NA,NA,NA,5,2013,2,NA,1,2,0,1,2,NA,2,NA,NA,NA,NA,1,1,2,617736,NA,NA,NA,NA,2,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,0,NA,100,92197,NA,275,NA,NA,"Ecuador"
25,1,3,2,NA,NA,NA,2,2013,1,45,1,3,3,0,2,NA,1,30,2,NA,NA,1,1,1,1200000,NA,NA,90,168,1,400000,1,70,200000,100,68,32,6,3,59,12,3,100,220000,400000,96000,775945,400000,"Ecuador"
20,1,2,2,NA,NA,NA,2,1995,2,NA,1,1,3,0,2,NA,2,NA,2,NA,NA,1,1,1,358000,NA,NA,45,48,2,NA,NA,NA,NA,22,18,4,2,5,11,2,2,50,180000,43838,2880,230021,200000,"Ecuador"
22,1,1,2,NA,NA,NA,3,1988,2,NA,1,2,0,20,2,NA,2,NA,-7,NA,NA,1,1,1,377401,NA,NA,50,50,2,NA,NA,NA,NA,18,12,6,6,3,3,0,NA,80,170000,40000,1500,296244,200000,"Ecuador"
29,1,2,2,NA,NA,NA,2,2006,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,500000,NA,NA,100,50,1,50000,1,100,10000,20,16,4,10,4,2,4,2,100,100000,50000,3000,375503,150000,"Ecuador"
25,1,1,2,NA,NA,NA,5,2012,2,NA,1,4,4,0,2,NA,2,NA,-7,NA,NA,1,1,1,1227531,NA,NA,60,50,1,100000,1,100,30000,8,6,2,4,2,0,0,NA,-9,54347,1020000,4000,1126506,700000,"Ecuador"
50,3,1,2,NA,NA,NA,2,1994,2,NA,1,4,0,59,2,NA,2,NA,NA,NA,NA,1,1,6,1200000,NA,NA,NA,NA,1,80000,1,90,0,19,NA,NA,NA,NA,NA,0,NA,90,360000,NA,3600,NA,NA,"Ecuador"
51,3,2,2,NA,NA,NA,5,2009,1,30,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,1831821,NA,NA,NA,NA,1,80000,1,78,200000,24,NA,NA,NA,NA,NA,4,2,50,137534,NA,3000,NA,NA,"Ecuador"
25,1,1,2,NA,NA,NA,2,2011,1,4,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,934000,NA,NA,100,40,1,30000,1,50,0,8,5,3,5,0,0,0,NA,100,96000,436000,17405,883628,300000,"Ecuador"
52,2,1,2,NA,NA,NA,5,2004,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,2,634000,NA,NA,NA,NA,1,6000,1,5,0,6,NA,NA,NA,NA,NA,1,6,100,25000,NA,600,NA,NA,"Ecuador"
52,2,1,2,NA,NA,NA,2,2005,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,2,360000,NA,NA,NA,NA,1,120000,1,100,120000,7,NA,NA,NA,NA,NA,0,NA,100,90000,NA,420,NA,NA,"Ecuador"
18,1,3,2,NA,NA,NA,5,2015,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,10271722,NA,NA,92,45,1,100000,1,70,0,160,140,20,14,110,16,0,NA,90,1198932,1450875,731105,10269415,116119,"Ecuador"
15,1,2,2,NA,NA,NA,5,1981,1,7,1,1,0,1,1,-9,2,NA,2,NA,NA,1,2,1,3148452,NA,NA,50,60,2,NA,NA,NA,NA,90,36,54,0,18,18,0,NA,50,663273,1402967,19463,3114227,1500000,"Ecuador"
18,1,3,2,NA,NA,NA,1,1983,1,3,1,1,0,0,1,20,2,NA,1,0,NA,1,1,1,3400000,0,2,65,40,1,200000,1,80,110000,85,60,25,60,0,0,7,12,99,1123000,980000,33700,2487390,4000000,"Ecuador"
17,1,3,1,3,2,NA,5,1972,1,30,2,NA,NA,NA,2,NA,2,NA,1,2,2,1,1,1,13000000,NA,NA,100,40,2,NA,NA,NA,NA,250,220,30,10,210,0,0,NA,70,2000000,6000000,120000,10800000,25000,"Ecuador"
18,1,1,2,NA,NA,NA,5,2014,2,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,220000,NA,NA,40,40,1,10000,2,NA,0,14,10,4,0,10,0,6,2,80,88000,77000,1000,200000,35000,"Ecuador"
51,3,1,2,NA,NA,NA,5,1990,2,NA,1,4,2,0,2,NA,2,NA,NA,NA,NA,1,2,3,799000,NA,NA,NA,NA,2,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,0,NA,100,160000,NA,8000,NA,NA,"Ecuador"
25,1,3,2,NA,NA,NA,5,2004,2,NA,1,2,1,0,2,NA,2,NA,1,-9,NA,1,1,1,41000000,0,0,90,40,1,2500000,2,NA,0,600,560,40,6,5,549,0,NA,20,5000000,23000000,1400000,34000000,18173677,"Ecuador"
51,3,1,2,NA,NA,NA,5,2000,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,700000,NA,NA,NA,NA,2,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,0,NA,70,44265,NA,2413,NA,NA,"Ecuador"
18,1,1,1,2,1,2,5,1995,2,NA,2,NA,NA,NA,2,NA,2,NA,-7,NA,NA,1,1,1,120000,NA,NA,25,40,1,45000,1,100,0,6,4,2,2,2,0,12,4,80,60000,40000,5000,115000,300000,"Ecuador"
24,1,2,2,NA,NA,NA,5,2009,2,NA,1,4,1,0,2,NA,2,NA,2,NA,NA,1,2,1,2000000,NA,NA,70,40,2,NA,NA,NA,NA,36,25,11,5,10,10,0,NA,99,883000,111277,6000,1200000,700000,"Ecuador"
50,3,3,2,NA,NA,NA,2,1977,2,NA,2,NA,NA,NA,1,1,2,NA,NA,NA,NA,1,1,6,14682856,NA,NA,NA,NA,1,150000,2,NA,30000,234,NA,NA,NA,NA,NA,3,6,100,2830000,NA,47000,NA,NA,"Ecuador"
17,1,2,2,NA,NA,NA,2,1998,1,3,1,2,0,5,2,NA,2,NA,-7,NA,NA,1,1,1,4800000,NA,NA,100,50,1,110000,1,80,0,50,20,30,16,0,4,10,3,100,1200000,1800000,7656,3200000,500000,"Ecuador"
20,1,3,2,NA,NA,NA,5,1975,2,NA,1,1,0,1,1,5,2,NA,2,NA,NA,1,1,1,4000000,NA,NA,50,40,1,400000,1,70,10000,120,90,30,45,45,0,0,NA,-9,215286,759549,14136,1554070,1000000,"Ecuador"
18,1,3,1,22,1,1,1,1989,2,NA,1,3,3,0,2,NA,2,NA,1,0,NA,1,1,1,12000000,NA,NA,75,40,1,80000,1,100,0,375,208,167,50,50,108,35,1,100,1750000,2600000,92000,5930000,50000,"Ecuador"
45,3,2,2,NA,NA,NA,5,2009,2,NA,1,1,0,10,1,-9,2,NA,NA,NA,NA,1,1,4,1800000,NA,NA,NA,NA,2,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,0,NA,10,226000,NA,7000,NA,NA,"Ecuador"
15,1,3,2,NA,NA,NA,2,1990,1,1,1,1,0,42,2,NA,2,NA,2,NA,NA,1,1,1,11400000,NA,NA,60,160,1,300000,2,NA,50000,120,70,50,10,25,35,0,NA,90,785557,7646385,180000,9512199,2285796,"Ecuador"
22,1,2,2,NA,NA,NA,2,1979,2,NA,2,NA,NA,NA,1,10,2,NA,2,NA,NA,1,2,1,5500000,NA,NA,70,90,1,20000,1,100,0,84,62,22,5,30,27,0,NA,65,1440000,2000000,96000,7000000,10000000,"Ecuador"
15,1,2,2,NA,NA,NA,5,1988,1,90,1,4,2,0,1,1,2,NA,2,NA,NA,1,1,1,4334078,NA,NA,12,40,2,NA,NA,NA,NA,41,30,11,5,5,20,0,NA,30,1175688,1050298,147576,2679223,4000000,"Ecuador"
15,1,3,2,NA,NA,NA,2,1995,2,NA,1,1,0,1,1,5,2,NA,1,0,NA,1,1,1,6000000,NA,NA,86,64,1,150000,1,50,0,211,168,43,6,20,142,14,2,72,1800000,2000000,170000,4500000,650000,"Ecuador"
24,1,2,2,NA,NA,NA,4,2003,2,NA,1,1,4,0,1,1,2,NA,1,0,NA,1,1,1,4300000,NA,NA,30,72,1,85000,2,NA,55000,81,45,36,8,3,34,5,3,100,901264,1295180,24340,2386438,990000,"Ecuador"
52,2,1,2,NA,NA,NA,2,2005,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,2,1000000,NA,NA,NA,NA,2,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,0,NA,100,24000,NA,360,NA,NA,"Ecuador"
24,1,2,2,NA,NA,NA,5,2012,2,NA,2,NA,NA,NA,2,NA,2,NA,1,0,NA,1,1,1,2200000,NA,NA,60,8,2,NA,NA,NA,NA,24,12,12,2,5,5,0,NA,100,224000,1310000,8500,1970000,200000,"Ecuador"
19,1,3,2,NA,NA,NA,5,2003,1,30,2,NA,NA,NA,2,NA,1,8,-7,NA,NA,1,1,1,2850000,NA,NA,65,40,1,120000,1,100,0,130,100,30,8,60,32,0,NA,90,474000,341940,30000,2300000,1200000,"Ecuador"
24,1,3,1,6,1,1,1,1961,1,-9,1,10,-9,-9,1,-9,2,NA,-9,NA,NA,1,1,1,13000000,NA,NA,90,40,1,-9,NA,NA,-9,250,61,189,61,0,0,30,6,100,4369616,7279814,36294,12893374,5607188,"Ecuador"
18,1,1,2,NA,NA,NA,5,1986,2,NA,2,NA,NA,NA,2,NA,2,NA,1,0,NA,1,1,1,170000,NA,NA,40,40,2,NA,NA,NA,NA,10,6,4,3,1,2,6,3,50,60000,90000,5400,160000,65000,"Ecuador"
15,1,2,2,NA,NA,NA,2,2010,2,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,870000,NA,NA,30,40,2,NA,NA,NA,NA,35,19,16,19,0,0,0,NA,100,86350,560000,14516,687460,2000000,"Ecuador"
15,1,3,2,NA,NA,NA,2,2006,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,2,1,5820193,NA,NA,65,40,2,NA,NA,NA,NA,100,40,60,30,10,0,0,NA,100,372629,3832978,8957,4573791,800000,"Ecuador"
52,2,1,2,NA,NA,NA,5,2007,2,NA,1,2,2,0,2,NA,2,NA,NA,NA,NA,1,2,2,360000,NA,NA,NA,NA,1,40000,2,NA,10000,5,NA,NA,NA,NA,NA,0,NA,100,65000,NA,1056,NA,NA,"Ecuador"
51,3,2,2,NA,NA,NA,2,2003,2,NA,1,1,2,0,2,NA,2,NA,NA,NA,NA,1,1,3,2400000,NA,NA,NA,NA,2,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,0,NA,100,376000,NA,5900,NA,NA,"Ecuador"
35,1,3,1,30,2,NA,2,1994,2,NA,1,1,0,0,2,NA,2,NA,2,NA,NA,1,1,1,6000000,NA,NA,40,40,1,100000,2,NA,80000,120,8,-9,4,4,-9,0,NA,90,400555,1000000,100369,20000000,100000,"Ecuador"
17,1,3,1,30,1,2,2,1935,2,NA,1,0,NA,NA,1,-9,2,NA,2,NA,NA,1,1,1,12700000,0,0,86,84,1,300000,1,6,100000,667,394,273,20,315,59,32,3,98,5813008,2294171,319566,9880797,5736462,"Ecuador"
15,1,2,2,NA,NA,NA,5,1963,2,NA,1,3,2,0,1,2,2,NA,2,NA,NA,1,1,1,4000000,NA,NA,50,40,1,1240000,1,100,10000,50,30,20,2,28,0,5,4,100,400000,2050000,16000,3680000,3000000,"Ecuador"
19,1,3,2,NA,NA,NA,5,1982,2,NA,1,1,0,1,1,1,2,NA,1,0,NA,1,1,1,2700000,NA,NA,65,60,1,150000,1,80,0,104,70,34,35,20,15,15,2,50,350000,1250000,20000,1900000,2000000,"Ecuador"
51,3,3,2,NA,NA,NA,2,2010,2,NA,1,1,5,0,1,1,2,NA,NA,NA,NA,1,1,3,4200000,NA,NA,NA,NA,1,50000,1,50,0,108,NA,NA,NA,NA,NA,0,NA,50,800000,NA,18000,NA,NA,"Ecuador"
37,1,2,2,NA,NA,NA,2,2011,2,NA,1,1,0,0,2,NA,2,NA,1,0,NA,1,1,1,1814348,NA,NA,60,40,1,50000,2,NA,0,38,26,12,16,5,5,0,NA,60,373575,1102029,8866,1636470,300000,"Ecuador"
15,1,1,2,NA,NA,NA,2,2013,1,90,1,1,0,1,2,NA,2,NA,2,NA,NA,1,1,1,379495,NA,NA,25,160,2,NA,NA,NA,NA,11,9,2,1,8,0,0,NA,100,84176,145284,2316,374425,204391,"Ecuador"
50,3,1,2,NA,NA,NA,5,2013,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,6,130000,NA,NA,NA,NA,2,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,0,NA,100,100000,NA,11000,NA,NA,"Ecuador"
52,2,2,2,NA,NA,NA,5,2006,2,NA,1,1,1,0,1,1,2,NA,NA,NA,NA,1,1,2,891663,NA,NA,NA,NA,1,15000,1,90,0,25,NA,NA,NA,NA,NA,2,6,90,212000,NA,15400,NA,NA,"Ecuador"
15,1,3,2,NA,NA,NA,2,2002,2,NA,1,4,0,40,1,1,2,NA,2,NA,NA,1,2,1,4548712,NA,NA,100,106,1,-9,NA,NA,0,80,26,54,26,0,0,0,NA,99,1134614,2111222,84000,4110561,927252,"Ecuador"
52,2,2,2,NA,NA,NA,2,2003,2,NA,1,1,1,0,1,4,2,NA,NA,NA,NA,1,1,2,25000000,NA,NA,NA,NA,1,2000000,1,20,0,115,NA,NA,NA,NA,NA,5,3,98,1500000,NA,964160,NA,NA,"Ecuador"
18,1,2,2,NA,NA,NA,3,2009,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,2,1,788674,NA,NA,60,40,2,NA,NA,NA,NA,25,15,10,1,14,0,0,NA,100,156666,55878,10045,502000,457343,"Ecuador"
25,1,2,2,NA,NA,NA,5,2007,2,NA,1,1,2,0,2,NA,2,NA,1,0,NA,1,1,1,2000000,NA,NA,-9,56,2,NA,NA,NA,NA,45,35,10,1,0,34,0,NA,50,400000,1000000,120000,1716909,1500000,"Ecuador"
51,3,1,2,NA,NA,NA,5,2008,2,NA,1,4,4,0,2,NA,2,NA,NA,NA,NA,1,1,3,600000,NA,NA,NA,NA,1,81700,1,20,0,8,NA,NA,NA,NA,NA,0,NA,100,67950,NA,1800,NA,NA,"Ecuador"
