"Sector.Detail","Sector","Size","Part.Of.Larger.Firm","Num.Establishments","Headquarters","Separate.Financial.Statements","Firm.Status","Establishment.Begin.Year","Electrical.Application","Electrical.Wait","Power.Outage","Num.Power.Outages","Power.Outage.Duration.Hours","Power.Outage.Duration.Minutes","Generator","Generator.Use","Water.Application","Water.Wait","Water.Outage","Num.Water.Outages","Water.Outage.Duration","Email","Website","Main.Activity","Sales.Nominal","Theft.Loss","Breakage.Loss","Capacity.Utilization","Operation.Hours","Capital.Purchases.Bool","Capital.Purchases.Amount","Upgraded.Capital.Bool","Upgraded.Capital.Percent","Land.Buildings.Amount","Full.Time.Employees","Full.Time.Employees.Production","Full.Time.Employees.Non.Production","Full.Time.Employees.Production.High.Skill","Full.Time.Employees.Production.Mid.Skill","Full.Time.Employees.Production.Low.Skill","Full.Time.Employees.Temporary","Full.Time.Employees.Temporary.Duration","Full.Time.Employees.Secondary.School.Percent","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Total.Cost","Capital.Value","Country"
22,1,2,2,NA,NA,NA,2,2001,2,NA,1,2,0,1,2,NA,2,NA,2,NA,NA,1,1,1,2.7e+07,NA,NA,70,48,1,3500000,1,70,70000,80,70,10,50,20,0,0,NA,100,5e+06,4000000,500000,30000000,3700000,"Bolivia"
60,3,3,2,NA,NA,NA,1,1996,1,20,1,8,4,0,1,5,2,NA,NA,NA,NA,1,1,6,1.36e+08,NA,NA,NA,NA,1,5e+06,1,100,0,395,NA,NA,NA,NA,NA,0,NA,100,33833530,NA,-9,NA,NA,"Bolivia"
60,3,1,2,NA,NA,NA,5,2013,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,6,1e+06,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,NA,100,3e+05,NA,4548,NA,NA,"Bolivia"
18,1,2,2,NA,NA,NA,5,1978,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,580000,NA,NA,60,30,2,NA,NA,NA,NA,9,5,4,5,0,0,25,10,100,152656,-9,9600,-9,2300000,"Bolivia"
24,1,3,2,NA,NA,NA,2,1986,1,15,2,NA,NA,NA,1,0,2,NA,2,NA,NA,1,1,1,1.4e+08,NA,NA,60,96,1,350000,1,50,0,350,200,150,50,100,50,0,NA,90,1.4e+07,63000000,-9,84000000,28000000,"Bolivia"
15,1,1,2,NA,NA,NA,3,1973,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,540000,NA,NA,40,98,2,NA,NA,NA,NA,15,4,11,1,3,0,0,NA,14,3e+05,200000,30000,530000,-9,"Bolivia"
52,2,3,1,4,1,2,2,1981,2,NA,1,1,0,1,2,NA,2,NA,NA,NA,NA,1,1,2,130844860,NA,NA,NA,NA,1,1630317,1,80,725508,389,NA,NA,NA,NA,NA,0,NA,87,36318417,NA,348264,NA,NA,"Bolivia"
24,1,3,2,NA,NA,NA,2,1970,2,NA,2,NA,NA,NA,1,10,2,NA,2,NA,NA,1,1,1,7.7e+07,NA,NA,100,48,1,840000,1,100,0,430,330,100,264,33,33,30,6,95,16940000,21021000,975975,42350000,560000000,"Bolivia"
55,3,1,2,NA,NA,NA,5,1992,2,NA,1,-9,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,5,943755,NA,NA,NA,NA,1,1e+05,1,100,0,9,NA,NA,NA,NA,NA,2,6,95,585599.9775,NA,30590,NA,NA,"Bolivia"
22,1,3,1,12,1,2,2,1990,2,NA,2,NA,NA,NA,1,-9,2,NA,2,NA,NA,1,1,1,75040000,NA,NA,80,128,2,NA,NA,NA,NA,325,39,286,19,20,0,0,NA,-9,30016000,22512000,750400,58606240,-9,"Bolivia"
55,3,3,2,NA,NA,NA,5,1996,1,3,2,NA,NA,NA,2,NA,1,-9,NA,NA,NA,1,1,5,-9,NA,NA,NA,NA,1,-9,NA,NA,-9,300,NA,NA,NA,NA,NA,0,NA,0,-9,NA,-9,NA,NA,"Bolivia"
45,3,3,2,NA,NA,NA,2,1977,2,NA,1,1,1,0,2,NA,2,NA,NA,NA,NA,1,1,4,1e+08,NA,NA,NA,NA,1,7e+06,1,100,2500000,500,NA,NA,NA,NA,NA,50,6,-9,30870000,NA,14400,NA,NA,"Bolivia"
22,1,1,2,NA,NA,NA,5,1979,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,2,1,-9,NA,NA,60,40,2,NA,NA,NA,NA,5,2,3,1,0,1,15,1,15,-9,-9,1200,-9,-9,"Bolivia"
52,2,2,2,NA,NA,NA,2,1986,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,2,5e+07,NA,NA,NA,NA,2,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,0,NA,100,7e+06,NA,15000,NA,NA,"Bolivia"
52,2,1,2,NA,NA,NA,5,1989,2,NA,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,2,556800,NA,NA,NA,NA,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2,1,100,244000,NA,1000,NA,NA,"Bolivia"
15,1,3,1,11,1,2,2,1989,1,10,1,-9,NA,NA,1,2,1,15,1,12,12,1,1,1,-9,NA,NA,60,96,1,560000,1,60,420000,716,135,581,4,16,115,10,4,85,-9,-9,-9,-9,-9,"Bolivia"
51,3,1,2,NA,NA,NA,3,1983,1,5,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,522000,NA,NA,NA,NA,1,7e+05,1,40,70000,5,NA,NA,NA,NA,NA,14,3,2,180000,NA,14000,NA,NA,"Bolivia"
15,1,3,2,NA,NA,NA,5,1978,1,16,1,1,0,0,1,1,2,NA,2,NA,NA,1,1,1,2.2e+07,NA,NA,45,48,1,1500000,1,50,350000,111,54,57,4,10,40,50,2,100,3200000,12000000,240000,17000000,58000000,"Bolivia"
52,2,2,2,NA,NA,NA,5,2009,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,2,3.8e+07,NA,NA,NA,NA,1,1400000,1,40,0,35,NA,NA,NA,NA,NA,20,2,90,1200000,NA,150000,NA,NA,"Bolivia"
60,3,2,1,4,2,NA,5,1990,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,6,8e+06,NA,NA,NA,NA,2,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,0,NA,-9,3699511,NA,-9,NA,NA,"Bolivia"
18,1,2,2,NA,NA,NA,5,2005,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,240000,NA,NA,80,40,1,25000,2,NA,0,30,25,5,7,18,0,0,NA,50,84600,56448,43200,240000,210000,"Bolivia"
51,3,1,2,NA,NA,NA,5,2000,2,NA,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,1e+07,NA,NA,NA,NA,1,-9,NA,NA,0,7,NA,NA,NA,NA,NA,0,NA,100,1032000,NA,2500,NA,NA,"Bolivia"
28,1,1,2,NA,NA,NA,3,1972,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,1500000,NA,NA,90,50,1,70000,2,NA,140000,8,6,2,6,0,0,2,3,100,450000,650000,8000,-9,2000000,"Bolivia"
60,3,3,2,NA,NA,NA,1,2000,2,NA,1,1,0,30,2,NA,2,NA,NA,NA,NA,1,1,6,3600000,NA,NA,NA,NA,1,120000,1,100,0,102,NA,NA,NA,NA,NA,2,3,100,5850000,NA,345000,NA,NA,"Bolivia"
51,3,2,2,NA,NA,NA,2,1907,2,NA,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,2e+07,NA,NA,NA,NA,1,50000,2,NA,50000,44,NA,NA,NA,NA,NA,6,3,95,5174000,NA,42000,NA,NA,"Bolivia"
60,3,1,2,NA,NA,NA,5,1993,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,6,7e+07,NA,NA,NA,NA,2,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,3,1,-9,1993152,NA,3220,NA,NA,"Bolivia"
15,1,3,2,NA,NA,NA,2,1958,1,70,1,2,0,14,1,0,1,90,1,4,12,1,1,1,7e+07,0,5,60,60,1,1750000,1,70,0,360,216,144,120,60,36,40,3,90,17000005,35000000,500000,53000000,100000000,"Bolivia"
52,2,2,2,NA,NA,NA,5,1959,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,2,4e+06,NA,NA,NA,NA,2,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,10,1,100,1800000,NA,72000,NA,NA,"Bolivia"
52,2,2,1,3,1,2,5,1995,2,NA,1,1,4,0,2,NA,2,NA,NA,NA,NA,1,1,2,-9,NA,NA,NA,NA,1,-9,NA,NA,0,25,NA,NA,NA,NA,NA,0,NA,100,-9,NA,60000,NA,NA,"Bolivia"
51,3,1,2,NA,NA,NA,2,1998,2,NA,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,6,4300000,NA,NA,NA,NA,1,560000,1,70,560000,12,NA,NA,NA,NA,NA,20,2,12,8e+05,NA,10000,NA,NA,"Bolivia"
26,1,2,2,NA,NA,NA,3,1978,2,NA,1,2,9,5,2,NA,2,NA,2,NA,NA,1,1,1,7e+06,NA,NA,50,44,1,7e+05,1,70,0,45,30,15,10,10,10,10,3,50,2940006,300000,39600,3500000,6000000,"Bolivia"
24,1,3,2,NA,NA,NA,2,1964,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,21747773,NA,NA,80,48,1,1.4e+07,1,80,0,110,50,60,10,4,36,0,NA,90,10741000,4897300,7820,15656000,20000000,"Bolivia"
19,1,1,2,NA,NA,NA,3,1995,2,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,2,2,1,20000,NA,NA,60,28,1,42000,1,60,5000,5,3,2,3,0,0,1,2,2,28410,-9,2400,30000,-9,"Bolivia"
55,3,1,1,5,1,1,5,2003,1,60,1,0,NA,NA,1,2,2,NA,NA,NA,NA,1,2,5,1.2e+07,NA,NA,NA,NA,1,20000,1,100,0,15,NA,NA,NA,NA,NA,10,3,80,320000,NA,60000,NA,NA,"Bolivia"
