"Sector.Detail","Sector","Size","Part.Of.Larger.Firm","Num.Establishments","Headquarters","Separate.Financial.Statements","Firm.Status","Establishment.Begin.Year","Electrical.Application","Electrical.Wait","Power.Outage","Num.Power.Outages","Power.Outage.Duration.Hours","Power.Outage.Duration.Minutes","Generator","Generator.Use","Water.Application","Water.Wait","Water.Outage","Num.Water.Outages","Water.Outage.Duration","Email","Website","Main.Activity","Sales.Nominal","Theft.Loss","Breakage.Loss","Capacity.Utilization","Operation.Hours","Capital.Purchases.Bool","Capital.Purchases.Amount","Upgraded.Capital.Bool","Upgraded.Capital.Percent","Land.Buildings.Amount","Full.Time.Employees","Full.Time.Employees.Production","Full.Time.Employees.Non.Production","Full.Time.Employees.Production.High.Skill","Full.Time.Employees.Production.Mid.Skill","Full.Time.Employees.Production.Low.Skill","Full.Time.Employees.Temporary","Full.Time.Employees.Temporary.Duration","Full.Time.Employees.Secondary.School.Percent","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Total.Cost","Capital.Value","Country"
15,1,3,1,95,2,NA,1,1976,1,30,2,NA,NA,NA,1,2,1,5,2,NA,NA,1,1,1,1.5e+09,0,2,70,46,1,90000000,2,NA,-9,168,60,108,5,55,-9,15,6,-9,-9,4.5e+08,-9,22500000,-9,"Uruguay"
15,1,1,2,NA,NA,NA,5,1995,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,2,2,1,-9,NA,NA,-9,6,2,NA,NA,NA,NA,22,11,11,1,4,6,11,6,1,-9,-9,210000,-9,-9,"Uruguay"
18,1,2,1,7,1,2,5,1974,2,NA,2,NA,NA,NA,-9,NA,2,NA,2,NA,NA,1,1,1,-9,NA,NA,60,84,2,NA,NA,NA,NA,54,34,-9,0,4,-9,0,NA,-9,-9,-9,-9,-9,-9,"Uruguay"
15,1,2,1,3,1,2,5,1987,2,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,2,2,1,2e+07,NA,NA,80,105,1,550000,1,100,0,29,16,13,0,14,2,0,NA,2,6500000,-9,1200000,8140000,2500000,"Uruguay"
52,2,1,1,2,2,NA,2,1998,2,NA,1,1,3,0,2,NA,2,NA,NA,NA,NA,1,2,2,21572191,NA,NA,NA,NA,1,60000,1,30,0,8,NA,NA,NA,NA,NA,0,NA,80,2e+06,NA,400000,NA,NA,"Uruguay"
52,2,2,1,9,1,1,2,1956,2,NA,1,0,NA,NA,1,0,2,NA,NA,NA,NA,1,1,2,98317000,NA,NA,NA,NA,2,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,2,-9,60,2e+07,NA,600000,NA,NA,"Uruguay"
52,2,2,1,17,1,2,2,1997,1,3,2,NA,NA,NA,2,NA,1,5,NA,NA,NA,1,1,2,2.8e+08,NA,NA,NA,NA,1,3000000,2,NA,0,82,NA,NA,NA,NA,NA,10,2,100,27700000,NA,1280000,NA,NA,"Uruguay"
25,1,2,2,NA,NA,NA,2,1975,2,NA,2,NA,NA,NA,1,0,2,NA,1,-9,NA,1,1,1,4.5e+07,NA,NA,-9,-9,2,NA,NA,NA,NA,27,-9,-9,-9,-9,-9,0,NA,90,1.6e+07,-9,180000,-9,-9,"Uruguay"
72,3,2,1,5,1,1,2,1995,1,-6,1,4,0,5,1,1,2,NA,NA,NA,NA,1,1,6,8e+07,NA,NA,NA,NA,1,12000000,1,100,1e+06,85,NA,NA,NA,NA,NA,0,NA,99,2.4e+07,NA,600000,NA,NA,"Uruguay"
60,3,2,1,3,1,1,5,1890,2,NA,1,0,NA,NA,1,1,2,NA,NA,NA,NA,1,1,6,25400000,NA,NA,NA,NA,1,60000,1,100,0,27,NA,NA,NA,NA,NA,0,NA,60,16100000,NA,420000,NA,NA,"Uruguay"
51,3,3,1,4,1,1,1,1929,2,NA,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,7e+08,NA,NA,NA,NA,1,25000000,1,50,5e+06,200,NA,NA,NA,NA,NA,30,3,40,1.35e+08,NA,70000000,NA,NA,"Uruguay"
18,1,3,2,NA,NA,NA,2,1961,2,NA,1,-9,NA,NA,2,NA,2,NA,-9,NA,NA,1,1,1,6e+07,NA,NA,-9,-9,2,NA,NA,NA,NA,180,-9,-9,-9,-9,-9,0,NA,50,-9,-9,120000,-9,-9,"Uruguay"
52,2,3,2,NA,NA,NA,2,1974,1,-9,1,-9,NA,NA,1,1,1,-9,NA,NA,NA,1,1,2,6.58e+08,NA,NA,NA,NA,1,270000,2,NA,2475000,418,NA,NA,NA,NA,NA,70,2,95,1.55e+08,NA,9000000,NA,NA,"Uruguay"
52,2,3,2,NA,NA,NA,2,1920,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,2,1.208e+09,NA,NA,NA,NA,1,59000000,1,79,1200000,320,NA,NA,NA,NA,NA,0,NA,-9,1.63e+08,NA,7000000,NA,NA,"Uruguay"
52,2,3,2,NA,NA,NA,2,1950,1,-9,2,NA,NA,NA,2,NA,1,-9,NA,NA,NA,1,1,2,-9,NA,NA,NA,NA,1,0,NA,NA,13800000,-9,NA,NA,NA,NA,NA,400,4,-9,4.6e+08,NA,-9,NA,NA,"Uruguay"
24,1,3,1,17,2,NA,2,1931,1,240,2,NA,NA,NA,1,100,2,NA,2,NA,NA,1,1,1,7.4e+08,0,0,70,144,1,29000000,1,90,4500000,161,97,64,34,20,43,0,NA,-9,3.5e+08,2.9e+08,6000000,5e+08,4e+08,"Uruguay"
25,1,3,2,NA,NA,NA,2,1948,2,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,331329523,0,0,75,144,1,7900000,1,60,-9,150,100,50,3,4,93,0,NA,-9,56747000,108800000,14958000,239732000,164500000,"Uruguay"
18,1,3,1,2,1,2,2,1944,2,NA,1,365,0,15,1,40,2,NA,2,NA,NA,1,1,1,1e+09,0,0,100,144,1,15000000,2,NA,0,124,100,24,2,25,73,5,3,90,8.4e+07,7.35e+08,5000000,8.25e+08,289636000,"Uruguay"
25,1,3,1,22,2,NA,5,1972,2,NA,1,1,1,0,1,0,2,NA,2,NA,NA,1,1,1,1.5e+08,0,0,65,88,1,800000,1,100,0,170,157,13,40,117,0,0,NA,100,8e+07,3e+07,2700000,1.2e+08,5.6e+07,"Uruguay"
51,3,1,2,NA,NA,NA,2,1992,1,1,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,2.7e+07,NA,NA,NA,NA,1,90000,1,50,0,6,NA,NA,NA,NA,NA,0,NA,70,1.4e+07,NA,100000,NA,NA,"Uruguay"
55,3,3,1,2,1,1,2,1999,2,NA,1,1,-9,-9,1,0,2,NA,NA,NA,NA,1,1,5,3.23e+08,NA,NA,NA,NA,1,16000000,1,100,6e+06,145,NA,NA,NA,NA,NA,10,12,-9,1.05e+08,NA,20000000,NA,NA,"Uruguay"
52,2,3,2,NA,NA,NA,2,1958,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,2,1.5e+09,NA,NA,NA,NA,1,4000000,1,20,1e+05,150,NA,NA,NA,NA,NA,30,2,100,3.8e+08,NA,6000000,NA,NA,"Uruguay"
60,3,3,1,4,1,1,2,1991,1,30,1,1,1,0,1,0,2,NA,NA,NA,NA,1,1,6,679380209,NA,NA,NA,NA,2,NA,NA,NA,NA,158,NA,NA,NA,NA,NA,0,NA,80,548576118,NA,1694399,NA,NA,"Uruguay"
72,3,2,2,NA,NA,NA,2,1994,2,NA,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,6,59121000,NA,NA,NA,NA,1,600000,1,100,4500000,46,NA,NA,NA,NA,NA,0,NA,100,2.8e+07,NA,200000,NA,NA,"Uruguay"
51,3,3,2,NA,NA,NA,2,1946,2,NA,1,0,NA,NA,1,-9,2,NA,NA,NA,NA,1,2,3,6.6e+08,NA,NA,NA,NA,2,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,0,NA,40,55750000,NA,550000,NA,NA,"Uruguay"
72,3,3,2,NA,NA,NA,2,1992,1,15,1,1,14,0,1,0,2,NA,NA,NA,NA,1,1,6,844902520,NA,NA,NA,NA,2,NA,NA,NA,NA,260,NA,NA,NA,NA,NA,0,NA,90,211116260,NA,7331268,NA,NA,"Uruguay"
26,1,2,2,NA,NA,NA,2,1957,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,1.1e+08,NA,NA,80,50,1,6000000,2,NA,0,50,35,15,10,25,0,2,1,15,3.8e+07,5.5e+07,2000000,9.8e+07,-9,"Uruguay"
15,1,1,2,NA,NA,NA,5,1938,2,NA,1,5,0,20,2,NA,1,-9,2,NA,NA,1,1,1,-9,NA,NA,100,48,1,900000,1,100,0,15,10,5,2,1,7,3,3,33,-9,-9,-9,-9,-9,"Uruguay"
52,2,1,1,13,2,NA,5,1987,2,NA,1,-9,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,2,1.7e+07,NA,NA,NA,NA,-9,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0,NA,80,-9,NA,-9,NA,NA,"Uruguay"
52,2,1,2,NA,NA,NA,5,1995,2,NA,1,-9,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,2,10137496,NA,NA,NA,NA,2,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,0,NA,8,1714134,NA,50563,NA,NA,"Uruguay"
52,2,1,2,NA,NA,NA,5,1976,2,NA,1,2,0,0,1,0,2,NA,NA,NA,NA,1,2,2,1.8e+07,NA,NA,NA,NA,1,1000000,1,100,0,15,NA,NA,NA,NA,NA,0,NA,20,-9,NA,500000,NA,NA,"Uruguay"
15,1,2,2,NA,NA,NA,2,1995,2,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,-9,NA,NA,70,50,2,NA,NA,NA,NA,26,14,-9,5,4,5,-9,NA,30,-9,-9,-9,-9,0,"Uruguay"
15,1,2,2,NA,NA,NA,2,1962,2,NA,1,2,0,10,2,NA,2,NA,2,NA,NA,1,2,1,-9,NA,NA,50,60,1,900000,1,30,0,36,28,8,0,10,18,10,4,50,-9,-9,-9,-9,1.5e+08,"Uruguay"
15,1,2,2,NA,NA,NA,5,1969,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,22129466,NA,NA,80,40,2,NA,NA,NA,NA,23,23,0,10,13,0,0,NA,20,772528,-9,-9,-9,6e+05,"Uruguay"
24,1,2,2,NA,NA,NA,2,1981,2,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,780000,0,0,60,44,1,600000,1,75,0,88,60,28,5,10,45,25,5,60,9e+07,4.2e+08,7200000,5.81e+08,3e+08,"Uruguay"
24,1,2,2,NA,NA,NA,2,1972,2,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,1.81e+08,-9,0,65,48,1,780000,2,NA,150000,84,50,34,6,38,6,84,6,75,38400000,9.9e+07,510000,1.43e+08,1.9e+07,"Uruguay"
