"","Sector.Detail","Sector","Sales.Nominal","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Capital.Value","Country"
"1042",31,1,4.95e+10,8e+09,2.2e+10,2.7e+08,1.2e+10,"Paraguay"
"1062",24,1,2.16e+10,1.976e+09,5.9e+08,1.5e+07,1e+11,"Paraguay"
"1101",15,1,8.4e+09,1.8e+09,1.6e+09,5e+08,2.5e+09,"Paraguay"
"117",29,1,8e+08,1e+08,4.5e+08,6e+06,3e+07,"Paraguay"
"215",18,1,1.8e+08,3e+07,2e+07,2e+06,3e+06,"Peru"
"413",18,1,124000,30600,43200,3840,32500,"Peru"
"615",15,1,3.4e+08,4.5e+07,2.5e+08,1.5e+07,8e+08,"Peru"
"710",15,1,96000,45000,20400,6000,20000,"Peru"
"812",25,1,5e+06,55000,21000,25000,568000,"Peru"
"128",18,1,2524000,5e+05,6e+05,360000,6e+06,"Peru"
"167",18,1,1.2e+08,48975000,38117000,2332000,1e+08,"Peru"
"1710",24,1,4e+06,8e+05,1200000,40000,4e+06,"Peru"
"184",15,1,30000,20000,40000,4800,10000,"Peru"
"2110",29,1,1.2e+07,5433331,3230847,169244,19800000,"Peru"
"224",17,1,1e+07,2831837,4958549,243182,4500000,"Peru"
"231",18,1,3350000,298300,713770,52125,3e+06,"Peru"
"252",15,1,4.4e+07,1e+06,4e+07,1e+05,1e+08,"Peru"
"264",15,1,4300000,536000,2863000,121000,1e+06,"Peru"
"272",18,1,3.8e+07,8e+06,1.3e+07,250000,1500000,"Peru"
"283",25,1,4.9e+07,1.2e+07,2.3e+07,2700000,3e+07,"Peru"
"304",18,1,1.5e+07,250000,1e+06,12000,8e+05,"Peru"
"334",17,1,3e+06,1e+06,450000,160000,7e+06,"Peru"
"366",15,1,2.1e+07,6e+05,1.2e+07,24000,5e+05,"Peru"
"416",18,1,5e+05,80000,5e+05,35000,2500000,"Peru"
"431",36,1,1.4e+07,2500000,4500000,360000,2.5e+07,"Peru"
"443",18,1,2e+08,1e+08,5e+07,5e+06,3e+08,"Peru"
"461",24,1,16900000,3700000,5120000,636000,24600000,"Peru"
"482",24,1,2.3e+07,4e+06,7e+06,280000,8e+05,"Peru"
"511",25,1,30117549,1847793,1304000,1e+06,9e+06,"Peru"
"523",18,1,4e+06,4e+05,5e+05,45000,4e+05,"Peru"
"551",18,1,27500000,1e+07,7e+06,1e+06,2e+07,"Peru"
"572",15,1,2.2e+08,1.5e+07,2e+08,3e+05,2.2e+08,"Peru"
"593",18,1,1e+05,25000,50000,9000,1e+05,"Peru"
"641",15,1,4500000,1300000,1600000,35000,1500000,"Peru"
"652",15,1,6500000,1800000,1320000,240000,6e+05,"Peru"
"672",22,1,785951,189000,86071,9600,8e+05,"Peru"
"692",15,1,2e+05,1e+05,50000,15000,150000,"Peru"
"703",18,1,35400000,12607000,13113000,270600,5.2e+07,"Peru"
"723",18,1,3.5e+07,4e+06,2e+07,568000,1e+07,"Peru"
"732",24,1,1230000,84000,8e+05,3000,170000,"Peru"
"742",15,1,2e+06,250000,1200000,60000,3e+05,"Peru"
"752",15,1,1700000,3e+05,8e+05,26000,190000,"Peru"
"772",18,1,4189588,310074,2021396,92938,4e+05,"Peru"
"791",15,1,5.2e+07,6240000,36400000,520000,5e+06,"Peru"
"823",28,1,3500000,179000,25000,13800,3.29e+08,"Peru"
"843",15,1,2.1e+07,2270000,1e+07,720000,2e+06,"Peru"
"852",17,1,2.8e+07,1840000,3600000,8e+05,1e+07,"Peru"
"862",17,1,4e+05,150000,130000,11000,140000,"Peru"
"872",31,1,6.5e+08,1.7e+07,4.1e+08,6e+06,1.55e+08,"Peru"
"882",33,1,4200000,1280000,1252000,79000,1500000,"Peru"
"892",18,1,1.3e+08,33800000,6.5e+07,1300000,1.4e+08,"Peru"
"941",22,1,5e+05,120000,3e+05,15000,9e+05,"Peru"
"952",26,1,6.5e+07,1.4e+07,1e+07,2300000,3e+08,"Peru"
"962",18,1,5e+05,2e+05,150000,15000,1e+06,"Peru"
"991",24,1,2600000,280000,7e+05,2500,487500,"Peru"
"1004",15,1,1500000,150000,6e+05,48000,660000,"Peru"
"1033",18,1,2.5e+07,1.1e+07,1e+07,240000,3e+05,"Peru"
"1043",15,1,180000,70000,60000,2100,150000,"Peru"
"1063",15,1,1.1e+07,2100000,7285000,138000,2500000,"Peru"
"109",19,1,450000,220000,1e+05,8400,250000,"Peru"
"1102",24,1,6e+06,250000,5400000,12000,80000,"Peru"
"1111",24,1,2032000,150000,9e+05,10000,150000,"Peru"
"1122",28,1,1.5e+07,2e+06,8e+06,1e+05,1e+07,"Peru"
"1131",24,1,113063444,1952000,61828000,360000,3e+06,"Peru"
"115",18,1,760000,250000,280000,5000,180000,"Peru"
"1161",28,1,4e+06,1500000,1500000,50000,1e+06,"Peru"
"118",15,1,1e+07,2e+06,5e+06,50000,5e+06,"Peru"
"1221",25,1,2651673,1266694,1015701,150838,1500000,"Peru"
"1231",31,1,1.5e+07,2199222,5263779,32926,3e+05,"Peru"
"1251",24,1,5100000,432000,3e+06,12000,3e+05,"Peru"
"127",18,1,2.6e+07,2e+06,1500000,80000,6e+06,"Peru"
"1301",28,1,1.79e+08,18600000,67550000,3380000,2.6e+08,"Peru"
"1311",29,1,4e+06,4e+05,5e+05,12000,1e+06,"Peru"
"132",28,1,246000,87000,12000,14000,220000,"Peru"
"135",24,1,3800000,988600,900200,10000,504570,"Peru"
"136",28,1,5e+06,1500000,6e+05,1e+05,1800000,"Peru"
"137",24,1,2500000,781000,1100000,220000,3e+06,"Peru"
"1391",28,1,2.4e+08,7.9e+07,5e+07,550000,6.5e+07,"Peru"
"140",24,1,1209000,96000,8e+05,16000,560000,"Peru"
"1411",15,1,9e+05,115000,6e+05,16800,190000,"Peru"
"1421",21,1,8e+07,1e+07,4.5e+07,5e+06,2e+07,"Peru"
"144",17,1,26447633,4480000,12441523,1920000,12800000,"Peru"
"1461",28,1,20246000,1500000,1.6e+07,72000,1e+06,"Peru"
"147",15,1,1.86e+08,2.3e+07,8e+07,2500000,3e+08,"Peru"
"149",15,1,1108800000,1.7e+08,5500000,85000,0,"Peru"
"1501",28,1,350000,120000,60000,8000,270000,"Peru"
"151",18,1,2.5e+07,7500000,7e+06,150000,6e+06,"Peru"
"1521",28,1,1.6e+07,2e+06,8805000,315000,5e+06,"Peru"
"153",18,1,2.7e+07,6e+06,1.3e+07,60000,4e+07,"Peru"
"1541",29,1,4200000,2e+06,1e+06,6000,150000,"Peru"
"155",15,1,7e+05,180000,276000,8400,3e+05,"Peru"
"156",34,1,5360000,2500000,325000,1e+05,2640000,"Peru"
"159",18,1,825000,260000,3e+05,9600,1e+05,"Peru"
"160",35,1,5e+05,2e+05,250000,8400,4e+05,"Peru"
"1611",18,1,450000,150000,250000,3600,2e+06,"Peru"
"164",24,1,2e+06,7e+05,8e+05,50000,5e+05,"Peru"
"165",15,1,79129000,15500000,47500000,1e+06,1e+08,"Peru"
"1681",19,1,9e+06,576000,8e+06,150000,1e+07,"Peru"
"169",34,1,4e+06,4e+05,3e+06,1e+05,3e+06,"Peru"
"170",28,1,4500000,9e+05,1e+06,24000,5e+05,"Peru"
"1731",21,1,5e+07,5e+06,1.2e+07,1800000,1.5e+07,"Peru"
"174",28,1,950000,150000,6e+05,2000,10000,"Peru"
"175",15,1,3700000,526000,1630000,180000,4950000,"Peru"
"1771",34,1,2.5e+07,3600000,1800000,90000,8e+06,"Peru"
"178",34,1,3.8e+07,5976000,14196000,527000,1.8e+07,"Peru"
"179",18,1,380000,190000,150000,1000,250000,"Peru"
"1801",24,1,6.4e+07,2.4e+07,24400000,120000,1.2e+07,"Peru"
"1811",18,1,1872000,410300,154000,62000,350000,"Peru"
"1821",18,1,2e+07,4e+06,7500000,160000,3e+06,"Peru"
"1851",18,1,6e+06,810000,3360000,24000,1e+06,"Peru"
"187",15,1,1800000,3e+05,7e+05,10000,5e+05,"Peru"
"188",18,1,4e+06,4e+05,3e+06,12000,2e+05,"Peru"
"1911",19,1,940047,22436,48591,90838,150000,"Peru"
"1951",18,1,4551504,1125086,1420566,25200,796250,"Peru"
"197",24,1,1100000,153560,851139,4800,7e+05,"Peru"
"198",24,1,6e+06,1218000,4300000,156000,7e+06,"Peru"
"200",15,1,1.8e+07,2400000,1e+07,120000,7e+06,"Peru"
"2011",29,1,6626231,1453209,405934,33531,294000,"Peru"
"203",28,1,550000,70000,40000,3000,2e+05,"Peru"
"204",28,1,8e+06,250000,280000,21250,6e+05,"Peru"
"205",24,1,9e+07,9e+05,2e+07,60000,7e+06,"Peru"
"2081",28,1,2500000,725000,732000,1e+05,550000,"Peru"
"210",22,1,3e+05,15000,180000,10000,370000,"Peru"
"2111",31,1,5e+06,2e+06,2500000,48000,2600000,"Peru"
"214",34,1,4500000,650000,2800000,14000,650000,"Peru"
"2161",15,1,4.1e+07,3e+06,2e+07,6e+05,2e+07,"Peru"
"2171",34,1,7920000,1440000,5e+06,60000,2e+06,"Peru"
"218",15,1,5.5e+07,9e+06,2.7e+07,180000,2e+07,"Peru"
"219",36,1,3875000,181000,2954101,12800,1825000,"Peru"
"220",21,1,1200000,240000,720000,9000,220000,"Peru"
"2211",25,1,1e+06,280800,480000,118000,3e+08,"Peru"
"2231",29,1,180000,65000,50000,4000,120000,"Peru"
"225",15,1,2.2e+07,5600000,1.3e+07,1200000,2e+06,"Peru"
"228",28,1,1480000,350000,280000,60000,120000,"Peru"
"229",25,1,7e+06,2e+06,3500000,2e+05,3e+05,"Peru"
"230",28,1,480000,112000,120000,24000,3e+06,"Peru"
"234",25,1,2.2e+08,3.4e+07,1.5e+08,3e+07,3e+08,"Peru"
"235",22,1,2042785,2e+05,250000,15000,5e+05,"Peru"
"236",25,1,8.4e+07,2.3e+07,4.1e+07,4500000,6e+07,"Peru"
"238",17,1,246346000,5.5e+07,1.35e+08,2e+07,3e+08,"Peru"
"240",25,1,69263563,9617529,2584718,2155597,10862670,"Peru"
"2411",29,1,15200000,2500000,5e+06,2e+05,1e+06,"Peru"
"2421",15,1,1900000,280000,890000,70000,5e+05,"Peru"
"2431",26,1,1.8e+09,1.11e+08,3.73e+08,1.8e+08,1.5e+09,"Peru"
"2441",17,1,10196000,2136000,3875000,586400,1100000,"Peru"
"248",24,1,2.1e+07,930000,155800,550000,2.5e+07,"Peru"
"250",24,1,1.3e+07,4422000,4435000,153000,1e+07,"Peru"
"2511",24,1,1.12e+08,13200000,49500000,1650000,1.5e+08,"Peru"
"253",18,1,2.9e+07,4e+06,1e+07,360000,7e+06,"Peru"
"256",15,1,1850000,462000,1e+06,60000,9e+05,"Peru"
"257",17,1,2200000,1130500,1674000,245000,1e+06,"Peru"
"258",25,1,147191000,12700393,1.24e+08,2888831,6e+06,"Peru"
"262",15,1,8.4e+07,2127000,56355000,986000,5e+07,"Peru"
"263",28,1,1270000,6e+05,4e+05,40000,1300000,"Peru"
"267",15,1,2400000,1500000,420000,420000,1800000,"Peru"
"271",28,1,1400000,5e+05,650000,13500,350000,"Peru"
"273",17,1,1451300,460379,332857,7422,136000,"Peru"
"2751",15,1,1440000,239700,576000,42000,326000,"Peru"
"276",17,1,480000,160000,190000,36000,525000,"Peru"
"277",17,1,1280000,128000,947200,12800,384000,"Peru"
"285",15,1,910500,348000,251322,9200,229000,"Peru"
"2871",17,1,2688000,1e+06,930000,175000,550000,"Peru"
"288",15,1,9e+05,120000,4e+05,2500,6e+05,"Peru"
"290",15,1,3.6e+07,1088000,1e+06,70000,1.5e+07,"Peru"
"2911",15,1,1.2e+08,1e+07,8e+07,180000,9e+07,"Peru"
"294",17,1,9e+06,540000,6e+06,180000,1500000,"Peru"
"295",18,1,17500000,3500000,3500000,1e+05,17500000,"Peru"
"296",15,1,3e+07,7e+06,14873581,126419,3500000,"Peru"
"299",15,1,9e+07,2e+07,5e+07,360000,1.5e+08,"Peru"
"300",28,1,3.4e+07,6400000,12747000,457000,2e+07,"Peru"
"3011",24,1,21600000,1e+06,1.6e+07,2e+05,2e+06,"Peru"
"302",15,1,5e+08,39800000,411500000,2900000,3.5e+08,"Peru"
"303",17,1,2.4e+07,7742000,5226000,1961000,2e+07,"Peru"
"305",15,1,7e+08,4.2e+07,4.2e+08,6e+06,6e+08,"Peru"
"306",18,1,1.2e+07,3e+06,5300000,210000,8e+06,"Peru"
"307",19,1,3.2e+07,8589354,11355103,567688,12683301,"Peru"
"3101",15,1,54700000,5e+06,2e+07,6e+05,1.5e+07,"Peru"
"3111",18,1,6736000,1150000,2600000,80000,1e+05,"Peru"
"313",25,1,3.1e+07,5e+06,1.7e+07,850000,1.5e+07,"Peru"
"315",15,1,4e+06,1200000,2400000,84000,3e+05,"Peru"
"318",17,1,5e+07,12500000,1.3e+07,2e+06,5e+07,"Peru"
"320",25,1,2300000,6e+05,1300000,7000,3e+05,"Peru"
"3251",26,1,2.3e+07,7500000,7800000,6e+05,1e+07,"Peru"
"329",26,1,7e+06,2506681,2829477,223712,3025596,"Peru"
"3321",28,1,2.3e+07,3e+06,1e+07,3e+05,8e+06,"Peru"
"333",24,1,210029233,9347130,19019214,14400,7e+07,"Peru"
"335",15,1,1.7e+07,1500000,1.1e+07,60000,850000,"Peru"
"336",15,1,3.6e+08,4.1e+07,2.8e+08,3e+06,1e+08,"Peru"
"337",17,1,2.5e+07,2e+06,180000,1200000,7e+06,"Peru"
"338",18,1,2.4e+07,2700000,14400000,170000,2500000,"Peru"
"339",24,1,4.7e+07,6e+06,2.5e+07,6e+05,2e+07,"Peru"
"3421",28,1,2.9e+07,1987420,20360000,183600,9e+06,"Peru"
"346",18,1,8.5e+07,2.7e+07,4e+07,1e+06,9e+07,"Peru"
"348",25,1,7e+07,1.5e+07,4e+07,7e+05,2.5e+07,"Peru"
"3501",15,1,3.5e+07,7e+06,1.5e+07,1800000,1.5e+07,"Peru"
"3511",15,1,3.4e+07,8500000,9e+06,2e+05,3e+07,"Peru"
"353",15,1,47040000,15052800,18345600,3292800,2.5e+07,"Peru"
"3541",22,1,7661600,1492000,2550000,107000,1.4e+07,"Peru"
"355",22,1,8762000,2819615,3194449,136971,2e+06,"Peru"
"357",15,1,4.2e+07,1947000,21469000,823000,1.4e+07,"Peru"
"3591",25,1,5.5e+07,1900000,3.1e+07,2160000,32500000,"Peru"
"3621",17,1,77008703,11971331,49857787,4077290,153650000,"Peru"
"365",20,1,3.3e+07,1200000,1.7e+07,1200000,4875000,"Peru"
"369",15,1,2e+07,8e+06,7e+06,150000,1.5e+07,"Peru"
"370",25,1,59100000,1.2e+07,7e+06,1200000,2.5e+07,"Peru"
"374",19,1,1200000,5e+05,4e+05,20000,3e+05,"Peru"
"376",21,1,3e+06,2e+05,1500000,5400,160000,"Peru"
"3771",15,1,1100000,3e+05,4e+05,15000,2e+05,"Peru"
"378",18,1,2700000,1100000,1100000,36000,2e+06,"Peru"
"380",34,1,1300000,3e+05,1e+05,24000,4500000,"Peru"
"3811",28,1,2800000,943662,1507777,51351,2.7e+07,"Peru"
"383",27,1,9e+05,3e+05,150000,2500,40000,"Peru"
"384",18,1,429022,53400,450000,5880,65000,"Peru"
"385",15,1,1025000,250000,4e+05,8000,70000,"Peru"
"3881",17,1,1300000,40000,9e+05,8500,70000,"Peru"
"392",36,1,1500000,688000,465000,41500,2e+06,"Peru"
"393",36,1,125000,50000,50000,6000,50000,"Peru"
"394",24,1,4e+06,350000,330000,2500,90000,"Peru"
"395",15,1,2e+06,6e+05,7e+05,30000,40000,"Peru"
"399",27,1,1800000,286000,1350000,11300,324000,"Peru"
"400",15,1,1e+06,75000,660000,3600,25000,"Peru"
"406",18,1,592000,240000,240000,3600,180000,"Peru"
"407",18,1,2e+05,66000,120000,3500,17000,"Peru"
"414",17,1,7200000,6e+05,4e+06,2e+05,3e+06,"Peru"
"4151",15,1,1100000,4e+05,4e+05,60000,2e+06,"Peru"
"418",31,1,1500000,250000,1e+06,12000,1e+05,"Peru"
"422",33,1,5e+06,252000,3e+06,15000,3e+05,"Peru"
"425",26,1,9e+05,366000,144000,362764,1500000,"Peru"
"4271",28,1,237488,33409,139205,12992,325000,"Peru"
"429",15,1,1e+06,360000,360000,60000,3e+05,"Peru"
"430",18,1,4e+05,1e+05,150000,3000,40000,"Peru"
"433",18,1,1318109,420000,1199404,19000,6e+05,"Peru"
"434",18,1,3e+05,50000,150000,7200,70000,"Peru"
"436",22,1,4800000,1e+06,2500000,50000,60000,"Peru"
"4411",18,1,4e+06,2e+06,1e+06,3e+05,6e+05,"Peru"
"448",28,1,720000,410000,250000,20000,450000,"Peru"
"451",15,1,240000,50000,140000,4000,1e+06,"Peru"
"454",18,1,1500000,5e+05,7e+05,3000,7e+05,"Peru"
"4581",22,1,120000,74000,60000,2400,195000,"Peru"
"459",18,1,3900000,350000,2280000,190000,4950000,"Peru"
"460",17,1,395000,60000,247145,6500,2e+05,"Peru"
"463",33,1,2454844,290000,1800000,60000,3e+06,"Peru"
"4641",15,1,1500000,180000,1e+06,13000,4e+05,"Peru"
"465",25,1,13700000,2815000,4029000,457000,3500000,"Peru"
"466",28,1,1300000,650000,5e+05,6000,130000,"Peru"
"472",15,1,1703146,5e+05,6e+05,50000,3e+05,"Peru"
"4741",28,1,2.5e+07,9e+06,6e+06,30000,5e+07,"Peru"
"475",36,1,2525344,529913,1782999,5000,2e+05,"Peru"
"476",25,1,4e+06,5e+05,2800000,170000,4e+06,"Peru"
"4771",18,1,250000,125000,75000,3000,250000,"Peru"
"480",18,1,1300000,250000,7e+05,3000,40000,"Peru"
"4811",15,1,420000,55000,1e+05,3000,1e+05,"Peru"
"483",18,1,1600000,550000,8e+05,12000,1e+05,"Peru"
"485",15,1,1904530,376000,834000,25000,2e+05,"Peru"
"4861",15,1,380000,126000,2e+05,8500,80000,"Peru"
"487",15,1,1700000,250000,6e+05,10000,60000,"Peru"
"488",15,1,120000,60000,30000,25000,170000,"Peru"
"489",31,1,2e+06,415038,639836,4884,74132,"Peru"
"491",15,1,450000,90000,202500,10000,50000,"Peru"
"492",18,1,4e+06,125000,1500000,50000,6e+05,"Peru"
"493",20,1,1600000,110000,1100000,4500,2e+05,"Peru"
"4981",25,1,3e+07,2500000,2e+07,1e+06,2e+07,"Peru"
"504",25,1,1200000,120000,6e+05,3000,250000,"Peru"
"5061",15,1,5500000,1492000,2850000,1e+05,8e+05,"Peru"
"507",18,1,480000,2e+05,35000,13200,2625000,"Peru"
"508",29,1,3e+06,8e+05,1500000,30000,9e+05,"Peru"
"5101",18,1,6800000,1643696,4161061,52242,574874,"Peru"
"512",15,1,4.2e+07,8e+06,2.7e+07,1600000,8e+06,"Peru"
"5131",29,1,2400000,350000,1200000,1200,5e+05,"Peru"
"514",36,1,201600000,16800000,67200000,268800,40320000,"Peru"
"517",15,1,1500000,3e+05,6e+05,70000,1200000,"Peru"
"5211",17,1,5500000,82000,3500000,38400,1500000,"Peru"
"5221",17,1,4e+06,450000,3200000,80000,2400000,"Peru"
"5261",18,1,220000,145000,15000,2700,30000,"Peru"
"5271",17,1,7600000,1064000,798000,638400,16800000,"Peru"
"5341",24,1,1e+06,130000,8e+05,2000,40000,"Peru"
"535",18,1,6e+05,35000,5e+05,2500,6000,"Peru"
"537",15,1,8e+05,1e+05,408720,18000,1e+05,"Peru"
"545",15,1,5e+05,240000,120000,8000,4e+05,"Peru"
"417",15,1,1.7e+07,6e+06,6e+06,480000,2800000,"Uruguay"
"713",15,1,1.94e+08,16400000,1.28e+08,2215000,3e+07,"Uruguay"
"913",15,1,1908365505,6e+06,1e+09,3.4e+07,2.4e+09,"Uruguay"
"1711",24,1,7.4e+08,3.5e+08,2.9e+08,6e+06,4e+08,"Uruguay"
"186",25,1,331329523,56747000,108800000,14958000,164500000,"Uruguay"
"196",18,1,1e+09,8.4e+07,7.35e+08,5e+06,289636000,"Uruguay"
"206",25,1,1.5e+08,8e+07,3e+07,2700000,5.6e+07,"Uruguay"
"265",24,1,780000,9e+07,4.2e+08,7200000,3e+08,"Uruguay"
"274",24,1,1.81e+08,38400000,9.9e+07,510000,1.9e+07,"Uruguay"
"293",18,1,9600000,2469794,5285382,42000,971500,"Uruguay"
"344",25,1,111337467,5.4e+07,2e+07,5e+06,6e+07,"Uruguay"
"358",25,1,3e+06,360000,210000,1650000,1500000,"Uruguay"
"367",21,1,4.7e+08,1.46e+08,1.5e+08,1e+07,2.3e+08,"Uruguay"
"371",24,1,194700000,42500000,1.092e+09,1e+07,4e+08,"Uruguay"
"391",34,1,195019900,45525663,28800000,1470000,1.1e+09,"Uruguay"
"405",15,1,3.8e+09,1.4e+08,3.22e+08,2650000,3.2e+08,"Uruguay"
"444",26,1,22357000,21136000,19883000,492000,796170,"Uruguay"
"473",21,1,4.3e+08,90558000,196500000,5750000,1.5e+09,"Uruguay"
"494",21,1,1.22e+08,2.7e+07,420000,50000,1200000,"Uruguay"
"502",17,1,35701360,10109869,11277781,566595,3.5e+07,"Uruguay"
"515",25,1,6793485,2320000,725000,276000,2.6e+07,"Uruguay"
"524",18,1,4.4e+07,9542000,3310000,240000,3645000,"Uruguay"
"531",15,1,1.08e+09,5.1e+08,450000,360000,1.8e+07,"Uruguay"
"616",15,1,3.6e+07,5e+05,2.1e+07,1e+06,1.5e+07,"Uruguay"
"634",18,1,5.5e+07,3e+05,120000,60000,250000,"Uruguay"
"642",24,1,1.892e+09,1.48e+08,1392300000,2.7e+07,1.8e+09,"Uruguay"
"653",19,1,2.749e+09,2.58e+08,1.76e+09,3.7e+07,4.4e+08,"Uruguay"
"673",21,1,1195107689,237254000,8.4e+08,6e+07,1.8e+08,"Uruguay"
"693",24,1,61266973,17138000,30183000,353000,9e+06,"Uruguay"
"724",24,1,255826342,1e+08,4.5e+07,3241749,2.2e+07,"Uruguay"
"773",25,1,15450000,3850000,8250000,746116,13050000,"Uruguay"
"783",25,1,7.6e+07,5.4e+07,5500000,3400000,12500000,"Uruguay"
"802",26,1,263192000,83449000,1.06e+08,2850000,4.2e+07,"Uruguay"
"813",28,1,4265677,1680000,1500000,60000,980000,"Uruguay"
"824",20,1,1e+08,2.7e+07,2.9e+07,540000,4e+07,"Uruguay"
"833",20,1,9e+06,8e+05,4500000,45000,1200000,"Uruguay"
"853",33,1,2264280000,78303034,38919862,2402656,1.4e+07,"Uruguay"
"863",34,1,3e+06,2600000,100080,72000,1e+05,"Uruguay"
"873",32,1,25753826,2344288,11128330,54765,106726,"Uruguay"
"883",19,1,6958000,9e+05,4e+06,24000,1e+05,"Uruguay"
"903",26,1,5e+07,1.5e+07,3e+07,3280000,1.8e+07,"Uruguay"
"914",15,1,4.5e+09,6.3e+08,3.825e+09,7.2e+07,12336210000,"Uruguay"
"953",15,1,18942802,7965259,8405466,299480,1e+07,"Uruguay"
"973",15,1,3e+08,6.2e+07,1e+08,3e+06,9e+07,"Uruguay"
"1103",15,1,9e+06,1e+06,7e+05,360000,2400000,"Uruguay"
