"","Sector.Detail","Sector","Sales.Nominal","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Capital.Value","Country"
"247",17,1,1.3e+08,1e+07,7.8e+07,2760000,2e+08,"Argentina"
"254",17,1,2.57e+08,83600000,2.3e+08,5200000,2e+07,"Argentina"
"255",19,1,242140000,59700000,90800000,8e+05,4.5e+07,"Argentina"
"268",29,1,3.7e+07,1.4e+07,11600000,840000,1.2e+07,"Argentina"
"269",24,1,1e+07,4e+06,3e+06,10000,3e+06,"Argentina"
"270",25,1,2.9e+07,1400000,14200000,1600000,3e+06,"Argentina"
"275",27,1,3.5e+07,2.3e+07,6e+05,3e+06,1.5e+07,"Argentina"
"284",15,1,840000,6e+05,1e+05,62000,5e+07,"Argentina"
"287",15,1,11545168,2765516,6853543,575423,1e+07,"Argentina"
"289",15,1,5e+05,216000,2e+05,17000,9e+05,"Argentina"
"297",18,1,2e+07,4e+06,3e+06,180000,3e+07,"Argentina"
"310",29,1,5e+07,2.5e+07,2.3e+07,80000,4e+07,"Argentina"
"325",18,1,3e+06,1e+06,1e+06,120000,3e+06,"Argentina"
"327",34,1,8e+06,5e+06,2e+06,1e+05,1.2e+07,"Argentina"
"341",22,1,27658108,10176669,16348655,6e+05,19200000,"Argentina"
"350",25,1,5.6e+07,8500000,2800000,1.2e+07,1.5e+07,"Argentina"
"352",34,1,5.99e+08,1.4e+08,4.05e+08,989000,4e+07,"Argentina"
"354",29,1,6e+08,5e+07,3e+08,3e+06,3e+08,"Argentina"
"356",27,1,3.5e+08,4.5e+07,2.8e+08,1e+06,1.5e+08,"Argentina"
"359",15,1,3e+06,1e+06,1500000,150000,3e+06,"Argentina"
"362",15,1,4e+06,1500000,1200000,240000,3e+06,"Argentina"
"363",18,1,1.2e+08,3e+07,5e+06,250000,5e+06,"Argentina"
"364",28,1,6.55e+08,3.8e+07,4.98e+08,1200000,3e+07,"Argentina"
"368",34,1,3.7e+07,1.4e+07,1.4e+07,360000,6.4e+07,"Argentina"
"373",28,1,1.6e+07,5e+06,3e+06,140000,1.5e+07,"Argentina"
"377",25,1,6e+08,8.7e+07,1.02e+08,1e+06,1.2e+08,"Argentina"
"387",18,1,2.4e+07,12519375,8160138,130236,1500000,"Argentina"
"388",34,1,6907651,4250000,1300000,72600,3380000,"Argentina"
"389",24,1,2.4e+07,4e+06,1500000,5e+05,4.5e+07,"Argentina"
"398",28,1,5200000,1900000,950000,35000,3500000,"Argentina"
"402",15,1,1.5e+08,7e+06,7e+06,7e+05,5e+06,"Argentina"
"409",15,1,143617001,4.5e+07,1.24e+08,8e+06,2e+07,"Argentina"
"415",15,1,3865000,1850000,750000,89000,1.5e+07,"Argentina"
"427",15,1,4.5e+07,1.6e+07,19500000,3e+06,8e+07,"Argentina"
"428",29,1,1.7e+07,6500000,8e+06,240000,7e+05,"Argentina"
"441",15,1,1.6e+07,6e+06,4e+06,3e+05,4e+06,"Argentina"
"453",15,1,2.4e+07,4e+05,3e+05,5e+05,5e+06,"Argentina"
"455",15,1,1.5e+07,7e+06,4e+06,4e+05,2e+06,"Argentina"
"458",15,1,5e+07,8e+06,3e+07,2e+05,5e+06,"Argentina"
"464",15,1,2.4e+07,5e+06,1.2e+07,6e+05,6e+06,"Argentina"
"467",15,1,9540000,5332000,3e+06,150000,5.5e+07,"Argentina"
"469",15,1,1250000,588000,3e+05,25000,250000,"Argentina"
"471",15,1,5e+06,1.5e+07,5e+05,5e+05,5e+08,"Argentina"
"474",15,1,2.4e+07,7e+06,1e+07,240000,5e+06,"Argentina"
"477",15,1,1.5e+08,33321000,74100000,1500000,8.5e+07,"Argentina"
